************************************************************
BITZER Software v6.15.1 rev2482
(c) 2020, BITZER, Germany. All data subject to change.
Donnerstag, 1. Oktober 2020 11:19:45
************************************************************

Presentation of compressor performance data with polynomials to EN 12900 / ARI 540
------------------------------------------------------------
Input Values:

Compressor model;;;6FTE-50K
Mode;;;Refrigeration and Air conditioning
Refrigerant;;;R744
Reference temperature;;;Dew point temp.
Liq. subc. (in condenser);;;0 K
Suct. gas superheat;;;10,00 K
Operating mode;;;Subcritical
Power supply;;;400V-3-50Hz
Capacity control;;;100%
Useful superheat;;;100%

------------------------------------------------------------
Polynomial:
y = c1 + c2*to + c3*tc + c4*to^2 + c5*to*tc + c6*tc^2 + c7*to^3 + c8*tc*to^2 + c9*to*tc^2 + c10*tc^3

Coefficients:
;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10
Q [W];155965,63085035800000000000;4566,10259830216000000000;-2860,70678185561000000000;54,36826336930620000000;-19,18720284961540000000;81,25972982626170000000;-0,31749529831210600000;-1,05489105929842000000;-1,53353183528751000000;-2,31696051945578000000;
P [W];7849,33068949581000000000;-347,69932286646500000000;490,31703614081600000000;-5,62919810032195000000;1,31850479376477000000;4,22856833982013000000;0,01081693577807960000;-0,08166725908243380000;0,16483575109168800000;-0,03482021097506350000;
m [kg/h];2213,77209177283000000000;68,61836568603570000000;-4,68529921744850000000;0,94588724517877800000;0,01337648920529710000;-0,05535264418189710000;0,00873185763813689000;0,00237564281448426000;-0,00146086999395138000;-0,00044788275314725800;
I [A];38,69478530229960000000;-0,39506278191244500000;0,43613007250166400000;-0,00669058353693626000;-0,00381815754565651000;0,01417485655564590000;0,00001511478211056740;-0,00014640344855034100;0,00032414636637785300;-0,00014740368421801000;

------------------------------------------------------------
Validity range of Polynomials
Evaporating SST:;;;-20°C;...;16,8°C
Condensing SDT:;;;5°C;...;31°C
*According EN 12900
Attention: Consider also application range of compressor!

------------------------------------------------------------

