Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 02:46:00  09/08/2019,5.33,68.28,67.04,1,67.03,39,25.28,-3.78,-28.33,2,19,19,32.39,3.89,78.44,-29.00,33.71,6,18.00,20.50,30.00,39,23.06,9,0.00,1,62.78,44.39,55.06,1,65.00,25.28,31.60,24.94,4,0,0,3837,3836,13.74,98852,0,50011,26570,0,0,-4.00,6,3836,1,1,0,0,0,35.56,2.50,2.39,65.00,0,25,-4.00,25,1.56,-2.22,68.72,66.84,-3.78,1,35.52,29.94,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,127.90,92.10,47.50,1882,156,227.50,14.60,98,14457,384.60,11.40,1.00,1.00,0,-0.44,33.05,253.70,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,379.80,1645,67,6.30,437,11.50,164,67,8588,19.50,10.00,35.71,0,21.89,2.61,0,10.00,22.11,0,19.72,0,35.62,2.28,20.00,0,0,0.00,25.00,19.11,0.00,21.72,36.40,2.61,10.00,20.00,1,17.78,20.00,10.00,1,13.22,2.61,0.00,20.00,36.40,0,0.00,20.00,1,4.60,30.20,16.40,-2.60,6.60,5.20,11.60,230.60,232.20,232.10,29.00,22.80,20.30
 02:48:00  09/08/2019,5.33,68.28,67.07,1,67.41,39,25.28,-3.78,-27.50,2,27,27,31.44,3.89,78.44,-29.00,33.71,6,17.67,20.06,30.00,39,23.06,9,0.00,1,61.94,44.39,54.44,1,65.00,25.28,34.40,24.94,4,0,0,3837,3836,14.15,98852,0,50011,26570,0,0,-4.00,6,3836,1,1,0,0,0,35.61,2.50,2.39,65.00,0,26,-4.00,26,1.56,-2.22,68.72,67.24,-3.78,1,35.52,30.10,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,127.20,91.60,47.50,1882,156,227.00,14.60,98,14457,383.90,11.40,1.00,1.00,0,-0.44,33.05,253.10,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,379.00,1645,67,6.30,437,11.50,164,67,8588,19.50,10.00,35.82,0,21.89,2.61,0,10.00,22.11,0,19.72,0,35.71,2.28,20.00,0,0,0.00,25.00,19.11,0.00,21.72,36.40,2.61,10.00,20.00,1,17.78,20.00,10.00,1,13.22,2.61,0.00,20.28,36.40,0,0.00,20.00,1,4.60,30.20,16.40,-2.60,6.60,5.20,11.60,230.60,232.20,232.10,29.00,22.80,20.30
 02:50:00  09/08/2019,5.33,68.28,67.11,1,66.54,39,25.28,-3.78,-27.06,3,36,32,30.83,3.89,78.89,-29.00,33.71,9,16.78,19.61,30.00,39,23.06,9,0.00,1,61.94,44.39,54.44,1,65.00,25.28,27.90,24.94,4,0,0,3837,3836,14.43,98852,0,50011,26570,0,0,-4.00,9,3836,1,1,0,0,0,35.99,2.89,2.39,65.00,0,26,-4.00,26,2.00,-1.94,68.72,66.44,-3.78,1,35.52,29.82,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,127.20,91.60,47.50,1882,156,226.40,14.60,98,14457,383.10,11.40,1.00,1.00,0,-0.44,33.05,252.50,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,378.20,1645,67,6.30,437,11.50,164,67,8588,19.11,10.00,36.21,0,21.89,2.89,0,10.00,22.11,0,19.22,0,36.11,2.78,20.00,0,0,0.00,25.00,19.11,0.00,21.72,36.40,2.61,10.00,20.00,1,17.50,20.00,10.00,1,13.22,2.61,0.00,20.28,36.40,0,0.00,20.00,1,4.60,30.20,16.40,-2.60,6.60,5.20,11.60,230.60,232.20,232.10,29.00,22.80,20.30
 02:52:00  09/08/2019,5.33,68.89,67.11,1,68.20,44,25.72,-3.78,-29.11,2,42,50,32.78,3.89,76.00,-29.00,33.71,7,17.22,19.17,30.00,44,23.06,9,0.00,1,61.94,44.11,54.94,1,65.00,25.67,33.80,24.94,4,0,0,3837,3836,13.22,98852,0,50011,26570,0,0,-4.00,7,3836,1,1,0,0,0,35.13,2.00,2.39,65.00,0,28,-4.00,28,2.56,-0.78,69.00,68.03,-3.78,1,35.52,30.16,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,126.50,91.60,47.50,1882,156,225.90,14.60,98,14457,382.30,11.40,1.00,1.00,0,-0.44,33.05,252.00,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,377.40,1645,67,6.30,437,11.50,164,67,8588,19.89,10.00,35.32,0,21.89,2.00,0,10.00,22.11,0,20.11,0,35.22,1.89,20.00,0,0,0.00,25.00,19.61,0.00,21.72,35.80,2.00,10.00,20.00,1,18.28,20.00,10.00,1,13.22,2.00,0.00,20.28,35.80,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,21.30,21.30,19.50
 02:54:00  09/08/2019,5.33,69.61,67.16,1,67.82,40,25.00,-3.78,-29.50,2,35,32,32.78,3.39,75.56,-29.00,33.71,6,17.22,19.44,30.00,40,23.06,9,0.00,1,61.94,44.11,56.39,1,65.00,24.94,35.90,24.94,4,0,0,3837,3836,13.25,98852,0,50011,26570,0,0,-4.00,6,3836,1,0,0,0,0,35.20,2.00,2.39,65.00,0,28,-4.00,28,2.56,-1.06,69.83,67.67,-3.78,1,35.52,30.05,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,126.50,91.10,47.50,1882,156,225.40,14.60,98,14457,381.50,11.40,1.00,1.00,0,-0.44,33.05,251.40,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,376.60,1645,67,6.30,437,11.50,164,67,8588,19.89,10.00,35.32,0,21.89,2.00,0,10.00,22.11,0,20.11,0,35.22,1.89,20.00,0,0,0.00,25.00,19.61,0.00,21.72,35.80,2.00,10.00,20.00,1,18.28,20.00,10.00,1,13.22,2.00,0.00,20.28,35.80,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,21.30,21.30,19.50
 02:56:00  09/08/2019,5.33,69.61,67.16,1,67.82,40,25.00,-3.78,-29.50,2,35,32,32.78,3.39,75.56,-29.00,33.71,6,17.22,19.44,30.00,40,23.06,9,0.00,1,61.94,44.11,56.39,1,65.00,24.94,35.90,24.94,4,0,0,3837,3836,13.25,98852,0,50011,26570,0,0,-4.00,6,3836,1,0,0,0,0,35.20,2.00,2.39,65.00,0,28,-4.00,28,2.56,-1.06,69.83,67.67,-3.78,1,35.52,30.05,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,126.50,91.10,47.50,1882,156,225.40,14.60,98,14457,381.50,11.40,1.00,1.00,0,-0.44,33.05,251.40,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,376.60,1645,67,6.30,437,11.50,164,67,8588,19.89,10.00,35.42,0,21.89,2.00,0,10.00,22.11,0,20.11,0,35.32,1.89,20.00,0,0,0.00,25.00,19.61,0.00,21.72,35.80,2.00,10.00,20.00,1,18.28,20.00,10.00,1,13.22,2.00,0.00,20.28,35.80,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,21.30,21.30,19.50
 02:58:00  09/08/2019,5.33,69.61,67.21,1,67.18,41,25.00,-3.78,-28.28,2,38,32,31.72,3.39,80.50,-29.00,33.71,6,17.50,19.44,30.00,41,23.06,9,0.00,1,62.22,44.11,57.72,1,65.00,24.94,34.50,24.94,4,0,0,3837,3836,13.84,98852,0,50011,26570,0,0,-4.00,6,3836,1,1,0,0,0,35.40,2.00,2.39,65.00,0,28,-4.00,28,2.56,-1.06,69.83,67.07,-3.78,1,35.52,29.94,-0.61,9.30,39.40,5.90,444,14.40,9.10,15.60,15.80,125.90,91.10,47.00,1882,156,224.90,14.60,98,14457,380.70,11.40,1.00,1.00,0,-0.44,33.05,250.80,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,375.70,1645,67,6.30,437,11.50,164,67,8588,19.61,10.00,35.52,0,21.89,2.28,0,10.00,22.11,0,19.78,0,35.52,2.22,20.00,0,0,0.00,25.00,19.61,0.00,21.72,35.80,2.00,10.00,20.00,1,18.28,20.00,10.00,1,13.22,2.00,0.00,20.61,35.80,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,21.30,21.30,19.50
 03:00:00  09/08/2019,5.33,69.61,67.24,1,67.48,43,25.44,-3.78,-27.39,3,46,32,30.78,3.39,79.39,-29.00,33.71,6,17.50,19.83,30.00,43,23.06,9,0.00,1,62.61,43.78,58.06,1,65.00,25.39,35.80,24.94,4,0,0,3837,3836,14.20,98852,0,50011,26570,0,0,-4.00,6,3836,1,0,0,0,0,35.30,2.00,2.39,65.00,0,29,-4.00,29,2.56,-1.06,69.83,67.34,-3.78,1,35.52,29.94,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.90,91.10,47.00,1882,156,224.90,14.60,98,14457,379.90,11.40,1.00,1.00,0,-0.44,33.05,250.30,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,374.90,1645,67,6.30,437,11.50,164,67,8588,19.61,10.00,35.52,0,21.89,2.28,0,10.00,22.11,0,19.78,0,35.42,2.22,20.00,0,0,0.00,25.00,19.61,0.00,21.72,35.80,2.00,10.00,20.00,1,18.28,20.00,10.00,1,13.22,2.00,0.00,20.61,35.80,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,21.30,21.30,19.50
 03:02:00  09/08/2019,5.33,69.61,67.24,1,66.67,41,25.11,-4.17,-27.39,2,49,32,30.78,3.39,77.89,-29.00,33.71,8,17.22,19.83,30.00,41,23.06,9,0.00,1,63.17,43.78,56.67,1,65.00,25.11,29.40,24.94,4,0,0,3837,3836,14.09,98852,0,50011,26570,0,0,-4.00,8,3836,1,1,0,0,0,35.98,2.83,2.39,65.00,0,28,-4.00,28,2.56,-1.89,69.83,66.57,-4.17,1,35.52,29.61,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.90,90.50,47.00,1882,156,224.10,14.60,98,14457,379.20,11.40,1.00,1.00,0,-0.44,33.05,249.80,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,374.20,1645,67,6.30,437,11.50,164,67,8588,19.11,10.00,36.11,0,21.89,2.89,0,10.00,22.11,0,19.28,0,36.11,2.78,20.00,0,0,0.00,25.00,19.00,0.00,21.72,36.60,2.78,10.00,20.00,1,17.89,20.00,10.00,1,13.22,2.78,0.00,20.61,36.50,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,20.40,23.80,20.50
 03:04:00  09/08/2019,5.33,69.89,67.24,1,67.39,43,25.11,-4.22,-27.94,2,49,32,31.44,3.39,77.17,-29.00,33.71,7,17.22,19.56,30.00,43,23.06,9,0.00,1,63.17,43.78,55.83,1,65.00,25.11,34.10,25.22,4,0,0,3837,3836,13.88,98852,0,50011,26570,0,0,-4.00,7,3836,1,0,0,0,0,35.60,2.56,2.39,65.00,0,28,-4.00,28,2.17,-2.17,70.22,67.24,-4.17,1,35.52,29.56,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.40,90.50,47.00,1882,156,224.10,14.10,98,14457,378.40,11.40,1.00,1.00,0,-0.44,33.05,249.80,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,373.40,1645,67,5.80,437,11.50,164,67,8588,19.50,10.00,35.71,0,21.89,2.39,0,10.00,22.11,0,19.72,0,35.71,2.39,20.00,0,0,0.00,25.00,19.28,0.00,21.72,36.60,2.39,10.00,20.00,1,18.39,20.00,10.00,1,13.22,2.28,0.00,20.61,36.50,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,20.40,23.80,20.50
 03:06:00  09/08/2019,5.33,69.89,67.24,1,67.39,43,25.11,-4.22,-27.94,2,49,32,31.44,3.39,77.17,-29.00,33.71,7,17.22,19.56,30.00,43,23.06,9,0.00,1,63.17,43.78,55.83,1,65.00,25.11,34.10,25.22,4,0,0,3837,3836,13.88,98852,0,50011,26570,0,0,-4.00,7,3836,1,0,0,0,0,35.60,2.56,2.39,65.00,0,28,-4.00,28,2.17,-2.17,70.22,67.24,-4.17,1,35.52,29.56,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.40,90.50,47.00,1882,156,224.10,14.10,98,14457,378.40,11.40,1.00,1.00,0,-0.44,33.05,249.80,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,373.40,1645,67,5.80,437,11.50,164,67,8588,19.50,10.00,35.71,0,21.89,2.39,0,10.00,22.11,0,19.72,0,35.71,2.39,20.00,0,0,0.00,25.00,19.28,0.00,21.72,36.60,2.39,10.00,20.00,1,18.39,20.00,10.00,1,13.22,2.28,0.00,20.61,36.50,0,0.00,20.00,1,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,20.40,23.80,20.50
 03:08:00  09/08/2019,5.33,70.22,67.28,1,66.89,42,25.11,-4.61,-28.22,2,49,32,31.44,3.39,76.89,-29.00,33.71,7,17.22,19.56,30.00,42,23.06,9,0.00,1,63.44,43.44,55.83,1,65.00,25.11,33.30,25.22,4,0,0,3837,3836,13.82,98852,0,50011,26570,0,0,-4.00,7,3836,1,0,0,0,0,35.64,2.56,2.39,65.00,0,26,-4.00,26,2.17,-2.17,70.61,66.76,-4.56,1,35.52,29.25,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.40,90.50,47.00,1882,156,223.40,14.10,98,14457,377.60,11.40,1.00,1.00,0,-0.44,33.05,248.90,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,372.60,1645,67,5.80,437,11.50,164,67,8588,19.50,10.00,35.82,0,21.89,2.39,0,10.00,22.11,0,19.72,0,35.82,2.39,20.00,0,0,0.00,25.00,19.28,0.00,21.72,36.60,2.39,10.00,20.00,1,18.39,12.72,6.30,12,24.89,2.28,12.70,21.00,36.50,1,0.00,20.00,2,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,20.40,23.80,20.50
 03:10:00  09/08/2019,5.33,70.22,67.28,1,67.18,42,25.11,-4.61,-28.22,2,50,32,31.72,3.39,76.44,-29.00,33.71,6,17.22,19.56,30.00,42,23.06,9,0.00,1,63.44,43.44,55.83,1,65.00,25.11,32.40,25.22,4,0,0,3837,3836,13.82,98852,0,50011,26570,0,0,-4.00,6,3836,1,1,0,0,0,35.24,2.11,2.39,65.00,0,23,-4.00,23,2.50,-2.17,70.61,67.00,-4.56,1,35.52,29.22,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.40,89.90,47.00,1882,156,223.40,14.10,98,14457,376.80,11.40,1.00,1.00,0,-0.44,33.05,248.40,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,371.80,1645,67,5.80,437,11.50,164,67,8588,19.78,10.00,35.42,0,21.89,2.11,0,10.00,22.11,0,20.11,0,35.32,2.00,20.00,0,0,0.00,25.00,19.72,0.00,21.72,35.80,2.00,10.00,20.00,1,19.61,12.72,6.30,12,23.72,2.00,5.10,21.72,35.80,1,0.00,20.00,2,4.60,30.20,14.30,-2.60,4.70,5.20,16.70,231.40,232.20,232.10,20.40,23.80,20.50
 03:12:00  09/08/2019,5.33,69.83,67.33,1,67.44,41,25.11,-4.61,-28.89,2,48,32,32.28,3.39,76.44,-29.00,33.71,6,17.78,19.56,30.00,41,23.06,9,0.00,1,63.44,43.44,55.83,1,65.00,25.11,28.60,25.22,4,0,0,3837,3836,13.44,98852,0,50011,26570,0,0,-4.00,4,3836,1,0,0,0,0,34.85,1.72,2.39,65.00,0,22,-4.00,22,2.50,-2.17,70.22,67.16,-4.56,1,35.52,29.37,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,125.40,89.90,46.50,1882,156,222.60,14.10,98,14457,376.00,11.40,1.00,1.00,0,-0.44,33.09,247.90,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,371.00,1645,67,5.80,437,11.50,164,67,8588,20.22,10.00,35.03,0,21.89,1.72,0,10.00,22.11,0,20.39,0,34.93,1.61,20.00,0,0,0.00,25.00,20.11,0.00,21.72,35.80,1.61,10.00,20.00,1,20.00,12.72,6.30,12,22.39,1.61,1.30,21.72,35.80,1,0.00,20.00,2,3.60,30.20,16.10,-3.20,5.70,7.00,14.50,231.40,233.10,232.10,25.10,30.50,16.40
 03:14:00  09/08/2019,5.33,69.83,67.33,1,67.34,37,24.72,-4.17,-29.83,2,45,32,32.94,3.11,77.44,-29.00,33.71,6,17.78,19.56,30.00,37,23.06,9,0.00,1,63.11,43.17,55.00,1,65.00,24.78,27.10,25.22,4,0,0,3837,3836,12.99,98852,0,50011,26570,0,0,-4.00,2,3836,1,0,0,0,0,34.85,1.72,2.39,65.00,0,21,-4.00,21,2.50,-2.17,70.22,67.09,-4.28,1,35.52,29.61,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,124.80,89.90,46.50,1882,156,222.60,14.10,98,14457,375.30,11.40,1.00,1.00,0,-0.44,33.09,247.40,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,370.30,1645,67,5.80,437,11.50,164,67,8588,20.22,10.00,35.03,0,21.89,1.72,0,10.00,22.11,0,20.39,0,34.93,1.61,20.00,0,0,0.00,25.00,20.11,0.00,21.72,35.80,1.61,10.00,20.00,1,20.00,12.39,6.30,12,21.11,1.61,1.30,21.72,35.80,1,0.00,20.00,2,3.60,30.20,16.10,-3.20,5.70,7.00,14.50,231.40,233.10,232.10,25.10,30.50,16.40
 03:16:00  09/08/2019,5.33,69.83,67.33,1,67.34,37,24.72,-4.17,-29.83,2,45,32,32.94,3.11,77.44,-29.00,33.71,6,17.78,19.56,30.00,37,23.06,9,0.00,1,63.11,43.17,55.00,1,65.00,24.78,27.10,25.22,4,0,0,3837,3836,12.99,98852,0,50011,26570,0,0,-4.00,2,3836,1,0,0,0,0,34.85,1.72,2.39,65.00,0,21,-4.00,21,2.50,-2.17,70.22,67.09,-4.28,1,35.52,29.61,-0.61,9.30,38.90,5.90,444,14.40,9.10,15.60,15.80,124.80,89.90,46.50,1882,156,222.60,14.10,98,14457,375.30,11.40,1.00,1.00,0,-0.44,33.09,247.40,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,370.30,1645,67,5.80,437,11.50,164,67,8588,20.22,10.00,35.03,0,21.89,1.72,0,10.00,22.11,0,20.39,0,34.93,1.61,20.00,0,0,0.00,25.00,20.11,0.00,21.72,35.80,1.61,10.00,20.00,1,20.00,12.39,6.30,12,21.11,1.61,1.30,21.72,35.80,1,0.00,20.00,2,3.60,30.20,16.10,-3.20,5.70,7.00,14.50,231.40,233.10,232.10,25.10,30.50,16.40
 03:18:00  09/08/2019,5.33,69.44,67.33,1,67.67,34,24.72,-3.67,-29.83,2,41,32,32.94,3.11,79.28,-29.00,33.71,6,17.78,19.89,30.00,34,23.06,9,0.00,1,63.11,43.17,54.67,1,65.00,24.78,28.90,25.22,4,0,0,3837,3836,12.99,98852,0,50011,26570,0,0,-4.00,1,3836,1,0,0,0,0,34.99,1.72,2.39,65.00,0,23,-4.00,23,1.89,-1.89,70.22,67.42,-3.78,1,35.52,30.03,-0.61,9.30,38.90,5.90,444,13.90,9.10,15.10,15.80,124.80,89.30,46.50,1882,156,221.90,14.10,98,14457,374.50,11.40,1.00,1.00,0,-0.44,33.09,246.90,9637,134,15.70,134,3698,14487,164,98,0,4838,156,16.20,369.50,1645,67,5.80,437,11.50,164,67,8588,20.22,10.00,35.12,0,21.89,1.72,0,10.00,22.11,0,20.39,0,35.12,1.61,20.00,0,0,0.00,25.00,20.11,0.00,21.72,35.80,1.61,10.00,20.00,1,20.00,12.39,6.30,12,19.89,1.61,1.30,21.72,35.80,1,0.00,20.00,2,3.60,30.20,16.10,-3.20,5.70,7.00,14.50,231.40,233.10,232.10,25.10,30.50,16.40
 03:20:00  09/08/2019,5.33,69.44,67.33,1,66.82,34,24.72,-3.67,-27.50,3,49,32,30.56,3.11,79.72,-29.00,33.71,6,17.78,19.89,30.00,34,23.06,9,0.00,1,62.67,43.17,54.67,1,65.00,24.78,28.90,25.22,4,0,0,3837,3836,14.27,98852,0,50011,26570,0,0,-4.00,0,3836,1,1,0,0,0,35.39,2.11,2.39,65.00,0,24,-4.00,24,1.89,-1.89,69.78,66.64,-3.78,1,35.52,30.03,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,124.80,89.30,46.50,1882,156,221.90,14.10,98,14457,373.70,11.40,1.00,1.00,0,-0.44,33.09,246.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,368.70,1645,67,5.80,437,11.50,164,67,8588,19.72,10.00,35.62,0,21.89,2.28,0,10.00,22.11,0,19.89,0,35.52,2.22,20.00,0,0,0.00,25.00,19.39,0.00,21.72,35.80,2.28,10.00,20.00,1,19.22,12.39,6.30,12,18.89,2.28,1.30,21.72,35.80,1,0.00,20.00,2,3.60,30.20,16.10,-3.20,5.70,7.00,14.50,231.40,233.10,232.10,25.10,30.50,16.40
 03:22:00  09/08/2019,5.33,68.61,67.33,1,66.71,37,25.56,-3.67,-28.44,2,47,50,31.50,3.11,72.89,-29.00,33.71,6,17.11,20.44,30.00,37,23.06,9,0.00,1,62.39,43.17,54.67,1,65.00,25.50,20.60,25.22,4,0,0,3837,3836,13.71,98852,0,50011,26570,0,0,-4.00,5,3836,1,1,0,0,0,36.47,3.33,2.39,65.00,0,25,-4.00,25,3.78,0.17,68.89,66.49,-3.78,1,35.52,30.03,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,124.30,89.30,46.50,1882,156,221.20,14.10,98,14457,372.90,11.40,1.00,1.00,0,-0.44,33.09,245.90,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,367.90,1645,67,5.80,437,11.50,164,67,8588,18.78,10.00,36.61,0,22.22,3.39,0,10.00,22.11,0,18.78,0,36.61,3.28,20.00,0,0,0.00,25.00,18.61,0.00,22.00,37.10,3.28,10.00,20.00,1,18.39,12.11,6.30,12,18.00,3.28,0.00,21.72,37.10,1,0.00,20.00,2,3.60,30.20,15.40,-3.20,4.40,7.00,17.10,231.40,233.10,232.10,19.70,31.50,17.50
 03:24:00  09/08/2019,5.33,69.33,67.33,1,67.90,39,25.56,-3.67,-27.67,2,53,53,31.17,3.50,75.22,-29.00,33.71,8,16.83,19.94,29.72,39,23.06,9,0.00,1,62.39,42.89,54.67,1,65.00,25.50,26.60,25.22,4,0,0,3837,3836,14.03,98852,0,50011,26570,0,0,-4.00,8,3836,1,1,0,0,0,36.31,3.33,2.39,65.00,0,25,-4.00,25,4.78,1.06,69.50,67.76,-3.78,1,35.52,29.96,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,124.30,88.70,46.50,1882,156,221.20,14.10,98,14457,372.10,11.40,1.00,1.00,0,-0.44,33.09,245.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,367.10,1645,67,5.80,437,11.50,164,67,8588,18.78,10.00,36.50,0,22.22,3.39,0,10.00,22.11,0,18.78,0,36.41,3.28,20.00,0,0,0.00,25.00,18.61,0.00,22.00,37.10,3.28,10.00,20.00,1,18.39,12.11,6.30,12,17.22,3.28,2.50,21.72,37.10,1,0.00,20.00,2,3.60,30.20,15.40,-3.20,4.40,7.00,17.10,231.40,233.10,232.10,19.70,31.50,17.50
 03:26:00  09/08/2019,5.33,69.33,67.33,1,67.90,39,25.56,-3.67,-27.67,2,53,53,31.17,3.50,75.22,-29.00,33.71,8,16.83,19.94,29.72,39,23.06,9,0.00,1,62.17,42.89,54.67,1,65.00,25.50,26.60,25.22,4,0,0,3837,3836,14.03,98852,0,50011,26570,0,0,-4.00,8,3836,1,1,0,0,0,36.31,3.33,2.39,65.00,0,25,-4.00,25,4.78,1.06,69.50,67.76,-3.78,1,35.52,29.96,-0.61,9.30,38.90,5.90,444,13.90,8.60,15.10,15.80,124.30,88.70,46.50,1882,156,221.20,14.10,98,14457,372.10,11.40,1.00,1.00,0,-0.44,33.09,245.40,9637,134,15.20,134,3698,14487,164,98,0,4838,156,16.20,367.10,1645,67,5.80,437,11.50,164,67,8588,18.78,10.00,36.50,0,22.22,3.39,0,10.00,22.11,0,18.78,0,36.41,3.28,20.00,0,0,0.00,25.00,18.61,0.00,22.00,37.10,3.28,10.00,20.00,1,18.39,12.11,6.30,12,17.22,3.28,2.50,21.72,37.10,1,0.00,20.00,2,3.60,30.20,15.40,-3.20,4.40,7.00,17.10,231.40,233.10,232.10,19.70,31.50,17.50
