time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 03:50:00;-15.2;30;4.7;Active;Inactive;Inactive;Inactive;31.2;-32.3;66;Active;Inactive;Inactive;16.8
01 01 2019 03:55:00;-15.4;39;4.7;Active;Active;Inactive;Inactive;25.2;-31.7;80;Active;Inactive;Inactive;20.4
01 01 2019 04:00:00;-14.8;42;4.7;Active;Inactive;Inactive;Inactive;26.4;-31.2;93;Active;Inactive;Inactive;19.2
01 01 2019 04:05:00;-13.3;68;4.7;Active;Active;Inactive;Inactive;32.4;-33.7;29;Active;Inactive;Active;20.4
01 01 2019 04:10:00;-14.8;40;4.7;Active;Inactive;Inactive;Inactive;28.8;-33.2;60;Active;Inactive;Active;16.8
01 01 2019 04:15:00;-12.2;88;4.6;Active;Active;Inactive;Inactive;28.8;-33.9;68;Active;Inactive;Active;19.2
01 01 2019 04:20:00;-13.9;63;4.6;Active;Inactive;Inactive;Inactive;25.2;-35.5;0;Inactive;Inactive;Inactive;16.8
01 01 2019 04:25:00;-14.2;54;4.6;Active;Active;Inactive;Inactive;26.4;-33.2;40;Active;Inactive;Active;18
01 01 2019 04:30:00;-16.8;13;4.6;Active;Active;Inactive;Inactive;26.4;-31.6;90;Active;Inactive;Inactive;19.2
01 01 2019 04:35:00;-12.7;79;4.6;Active;Active;Inactive;Inactive;34.8;-34;23;Active;Inactive;Active;19.2
01 01 2019 04:40:00;-14.9;41;4.5;Active;Inactive;Active;Inactive;25.2;-34.9;29;Active;Inactive;Active;16.8
01 01 2019 04:45:00;-14.1;60;4.5;Active;Inactive;Inactive;Inactive;24;-30;6;Active;Inactive;Inactive;16.8
01 01 2019 04:50:00;-13.7;59;4.5;Active;Inactive;Active;Inactive;30;-32.2;63;Active;Inactive;Active;19.2
01 01 2019 04:55:00;-17.4;0;4.5;Active;Inactive;Active;Inactive;30;-31.6;76;Active;Inactive;Inactive;16.8
01 01 2019 05:00:00;-14.9;43;4.4;Active;Inactive;Active;Inactive;34.8;-31.3;83;Active;Inactive;Inactive;19.2
01 01 2019 05:05:00;-14.5;47;4.4;Active;Inactive;Inactive;Inactive;26.4;-34.5;28;Active;Inactive;Active;14.4
01 01 2019 05:10:00;-12.7;82;4.4;Active;Inactive;Inactive;Inactive;31.2;-28.4;10;Active;Inactive;Inactive;16.8
01 01 2019 05:15:00;-16.8;4;4.3;Active;Inactive;Inactive;Inactive;20.4;-33.4;45;Active;Inactive;Inactive;18
01 01 2019 05:20:00;-16;19;4.3;Active;Inactive;Active;Inactive;32.4;-31.7;71;Active;Inactive;Active;18
