time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
14 01 2019 20:15:00;-13.9;58;12.3;Active;Inactive;Inactive;Inactive;21.6;-35.1;6;Active;Inactive;Active;16.8
14 01 2019 20:20:00;-14.2;57;12.3;Active;Inactive;Inactive;Inactive;26.4;-33.2;41;Active;Inactive;Inactive;18
14 01 2019 20:25:00;-8.6;51;12.2;Active;Inactive;Inactive;Inactive;32.4;-30.6;95;Active;Inactive;Inactive;20.4
14 01 2019 20:30:00;-14.8;48;12.2;Active;Inactive;Inactive;Inactive;27.6;-34.8;11;Active;Inactive;Active;18
14 01 2019 20:35:00;-12.4;88;12.2;Active;Inactive;Inactive;Inactive;26.4;-33.2;39;Active;Inactive;Inactive;16.8
14 01 2019 20:40:00;-14.1;59;12.2;Active;Inactive;Inactive;Inactive;30;-31.9;75;Active;Inactive;Inactive;18
14 01 2019 20:45:00;-17.6;0;12.1;Active;Inactive;Inactive;Inactive;30;-33.7;40;Active;Inactive;Inactive;19.2
14 01 2019 20:50:00;-14.6;44;11.9;Active;Active;Inactive;Inactive;32.4;-32.1;67;Active;Inactive;Inactive;20.4
14 01 2019 20:55:00;-16.3;13;11.8;Active;Inactive;Inactive;Inactive;32.4;-33.5;40;Active;Inactive;Active;15.6
14 01 2019 21:00:00;-13.7;68;11.6;Active;Inactive;Inactive;Inactive;44.4;-32;59;Inactive;Inactive;Inactive;26.4
14 01 2019 21:05:00;-14.5;49;11.5;Active;Active;Active;Inactive;42;-34.6;13;Active;Active;Active;24
14 01 2019 21:10:00;-15.2;33;11.5;Active;Active;Inactive;Inactive;38.4;-34;40;Active;Inactive;Active;20.4
14 01 2019 21:15:00;-13;82;11.4;Active;Active;Inactive;Inactive;42;-31.3;100;Active;Inactive;Inactive;15.6
14 01 2019 21:20:00;-14.1;58;11.3;Active;Inactive;Inactive;Inactive;42;-32.7;41;Active;Inactive;Active;22.8
14 01 2019 21:25:00;-14.6;48;11.2;Active;Inactive;Inactive;Inactive;27.6;-31.5;96;Active;Inactive;Inactive;19.2
14 01 2019 21:30:00;-16.2;24;11.2;Active;Inactive;Inactive;Inactive;37.2;-31.6;96;Active;Inactive;Inactive;19.2
14 01 2019 21:35:00;-16.8;26;11;Active;Inactive;Inactive;Inactive;39.6;-33.2;43;Active;Inactive;Active;21.6
14 01 2019 21:40:00;-13.1;67;10.9;Active;Active;Inactive;Inactive;37.2;-33.9;42;Active;Inactive;Active;19.2
14 01 2019 21:45:00;-15.5;32;10.8;Active;Active;Inactive;Inactive;36;-32;88;Active;Inactive;Inactive;19.2
14 01 2019 21:50:00;-12.3;95;10.7;Active;Active;Inactive;Inactive;37.2;-32.6;52;Active;Inactive;Active;20.4
14 01 2019 21:55:00;-14.8;56;10.6;Active;Active;Inactive;Inactive;30;-34.5;15;Active;Inactive;Inactive;18
14 01 2019 22:00:00;-15.7;27;10.5;Active;Active;Inactive;Inactive;27.6;-32.8;58;Active;Inactive;Inactive;20.4
14 01 2019 22:05:00;-13.4;66;10.4;Active;Inactive;Active;Inactive;30;-32.4;56;Active;Inactive;Active;20.4
14 01 2019 22:10:00;-13.1;75;10.3;Active;Inactive;Inactive;Inactive;28.8;-32.8;65;Active;Inactive;Inactive;18
14 01 2019 22:15:00;-16.8;12;10.2;Active;Active;Inactive;Inactive;32.4;-33.3;69;Active;Inactive;Inactive;14.4
14 01 2019 22:20:00;-15.4;49;10;Active;Active;Inactive;Inactive;24;-33.4;37;Active;Inactive;Active;20.4
14 01 2019 22:25:00;-8.7;40;10;Active;Inactive;Inactive;Inactive;30;-33.5;57;Active;Inactive;Active;20.4
14 01 2019 22:30:00;-15.7;36;9.9;Active;Inactive;Inactive;Active;25.2;-30.8;100;Active;Inactive;Inactive;18
14 01 2019 22:35:00;-13.7;76;9.9;Active;Inactive;Inactive;Inactive;28.8;-34.3;17;Active;Inactive;Inactive;19.2
14 01 2019 22:40:00;-15.7;30;9.8;Active;Inactive;Active;Inactive;31.2;-31.8;69;Active;Inactive;Active;21.6
14 01 2019 22:45:00;-16.8;12;9.7;Active;Inactive;Inactive;Active;26.4;-31.7;42;Active;Inactive;Inactive;19.2
14 01 2019 22:50:00;-12.7;84;9.6;Active;Inactive;Inactive;Inactive;26.4;-34.5;0;Inactive;Inactive;Inactive;19.2
14 01 2019 22:55:00;-8.9;43;9.5;Active;Inactive;Active;Inactive;30;-32.8;47;Active;Inactive;Active;22.8
14 01 2019 23:00:00;-16.5;10;9.3;Active;Inactive;Inactive;Inactive;28.8;-31.6;86;Active;Inactive;Inactive;24
14 01 2019 23:05:00;-16.8;10;9.2;Active;Inactive;Active;Inactive;26.4;-31.1;88;Active;Inactive;Inactive;24
14 01 2019 23:10:00;-8.1;52;9;Active;Inactive;Inactive;Inactive;28.8;-32.6;56;Active;Inactive;Inactive;25.2
14 01 2019 23:15:00;-15.2;30;8.9;Active;Inactive;Inactive;Inactive;32.4;-33.1;47;Active;Inactive;Inactive;21.6
14 01 2019 23:20:00;-14.4;53;8.8;Active;Inactive;Active;Inactive;31.2;-34;28;Active;Inactive;Active;26.4
14 01 2019 23:25:00;-14.6;51;8.6;Active;Inactive;Inactive;Inactive;22.8;-34.1;23;Active;Inactive;Inactive;20.4
14 01 2019 23:30:00;-16.6;11;8.5;Active;Inactive;Active;Inactive;30;-31.5;36;Active;Inactive;Inactive;24
14 01 2019 23:35:00;-10;64;8.4;Active;Inactive;Inactive;Inactive;32.4;-31.3;80;Active;Inactive;Active;21.6
14 01 2019 23:40:00;-14.1;55;8.3;Active;Inactive;Inactive;Active;30;-33.6;46;Active;Inactive;Active;21.6
14 01 2019 23:45:00;-14.4;52;8.2;Active;Inactive;Inactive;Inactive;32.4;-32;67;Active;Inactive;Active;20.4
14 01 2019 23:50:00;-11.4;100;8.2;Active;Inactive;Inactive;Inactive;33.6;-33.5;53;Active;Inactive;Active;21.6
14 01 2019 23:55:00;-13.4;68;8.2;Active;Inactive;Active;Inactive;30;-33.7;76;Active;Inactive;Active;21.6
15 01 2019 00:00:00;-15;38;8.2;Active;Inactive;Active;Inactive;32.4;-30.5;100;Active;Inactive;Inactive;21.6
15 01 2019 00:05:00;-14.5;46;8.2;Active;Inactive;Inactive;Active;26.4;-33.4;51;Active;Inactive;Active;19.2
15 01 2019 00:10:00;-12.7;82;8.2;Active;Inactive;Inactive;Inactive;34.8;-32.7;80;Active;Inactive;Inactive;15.6
15 01 2019 00:15:00;-11.8;100;8.3;Active;Inactive;Inactive;Inactive;34.8;-34.3;51;Active;Inactive;Inactive;20.4
15 01 2019 00:20:00;-9.6;41;8.4;Active;Inactive;Inactive;Active;25.2;-33;51;Active;Inactive;Active;21.6
15 01 2019 00:25:00;-16.6;11;8.4;Active;Inactive;Active;Inactive;31.2;-32.1;87;Active;Inactive;Inactive;18
15 01 2019 00:30:00;-16.5;17;8.5;Active;Inactive;Inactive;Active;28.8;-33.6;31;Active;Inactive;Inactive;20.4
15 01 2019 00:35:00;-16.5;12;8.6;Active;Inactive;Inactive;Active;32.4;-34.4;21;Active;Inactive;Active;21.6
15 01 2019 00:40:00;-16;23;8.7;Active;Inactive;Inactive;Inactive;25.2;-34.6;12;Active;Inactive;Active;19.2
15 01 2019 00:45:00;-15.4;33;8.7;Active;Inactive;Inactive;Active;32.4;-31.5;82;Active;Inactive;Inactive;20.4
15 01 2019 00:50:00;-16.8;20;8.7;Active;Inactive;Inactive;Active;25.2;-31.7;77;Active;Inactive;Inactive;20.4
15 01 2019 00:55:00;-12.6;82;8.7;Active;Inactive;Inactive;Inactive;31.2;-32.3;71;Active;Inactive;Inactive;19.2
15 01 2019 01:00:00;-14.4;61;8.7;Active;Inactive;Inactive;Active;30;-32.5;75;Active;Inactive;Inactive;20.4
15 01 2019 01:05:00;-16;15;8.7;Active;Inactive;Inactive;Inactive;25.2;-34.3;28;Active;Inactive;Active;15.6
15 01 2019 01:10:00;-16.5;11;8.6;Active;Inactive;Inactive;Active;26.4;-34.2;48;Active;Inactive;Inactive;22.8
15 01 2019 01:15:00;-14.1;53;8.4;Active;Inactive;Inactive;Active;24;-30.9;100;Active;Inactive;Inactive;25.2
15 01 2019 01:20:00;-10.7;61;8.4;Active;Inactive;Inactive;Inactive;24;-33.2;46;Active;Inactive;Active;22.8
15 01 2019 01:25:00;-11.8;97;8.2;Active;Inactive;Inactive;Inactive;24;-34.5;40;Active;Inactive;Inactive;22.8
15 01 2019 01:30:00;-13.1;77;8.1;Active;Inactive;Inactive;Inactive;31.2;-30.8;91;Active;Inactive;Inactive;28.8
15 01 2019 01:35:00;-13.8;60;7.9;Active;Inactive;Inactive;Active;25.2;-33.2;44;Active;Inactive;Active;21.6
15 01 2019 01:40:00;-15.5;30;7.8;Active;Inactive;Inactive;Inactive;25.2;-33.2;47;Active;Inactive;Inactive;22.8
15 01 2019 01:45:00;-17.1;20;7.7;Active;Inactive;Inactive;Inactive;28.8;-33.2;39;Active;Inactive;Active;25.2
15 01 2019 01:50:00;-16.5;15;7.7;Active;Active;Inactive;Inactive;25.2;-32.7;61;Active;Inactive;Active;22.8
15 01 2019 01:55:00;-12.7;85;7.5;Active;Inactive;Inactive;Inactive;27.6;-31.6;91;Active;Inactive;Inactive;22.8
15 01 2019 02:00:00;-11.2;74;7.4;Active;Active;Inactive;Inactive;27.6;-30.6;100;Active;Inactive;Inactive;15.6
15 01 2019 02:05:00;-9.3;100;7.4;Active;Inactive;Inactive;Inactive;30;-31.1;95;Active;Inactive;Active;21.6
15 01 2019 02:10:00;-8.7;40;7.3;Active;Inactive;Inactive;Inactive;19.2;-33.9;44;Active;Inactive;Active;20.4
15 01 2019 02:15:00;-13.1;77;7.2;Active;Inactive;Inactive;Inactive;27.6;-31.8;92;Active;Inactive;Inactive;19.2
15 01 2019 02:20:00;-13.7;64;7.1;Active;Inactive;Inactive;Inactive;32.4;-31.6;73;Active;Inactive;Active;21.6
15 01 2019 02:25:00;-12.3;93;7;Active;Inactive;Inactive;Inactive;26.4;-32.6;61;Active;Inactive;Active;19.2
15 01 2019 02:30:00;-12.3;97;6.9;Active;Inactive;Inactive;Inactive;26.4;-34.9;26;Active;Inactive;Inactive;18
15 01 2019 02:35:00;-10.9;68;6.8;Active;Inactive;Inactive;Inactive;26.4;-32.6;52;Active;Inactive;Active;21.6
15 01 2019 02:40:00;-14.4;49;6.7;Active;Inactive;Inactive;Inactive;22.8;-33.3;24;Active;Inactive;Inactive;18
15 01 2019 02:45:00;-12.4;89;6.7;Active;Inactive;Inactive;Inactive;26.4;-33.3;48;Active;Inactive;Inactive;19.2
15 01 2019 02:50:00;-12.6;71;6.7;Active;Inactive;Inactive;Inactive;27.6;-33.5;36;Active;Inactive;Active;19.2
15 01 2019 02:55:00;-12.7;85;6.6;Active;Inactive;Inactive;Inactive;24;-33.3;49;Active;Inactive;Inactive;18
15 01 2019 03:00:00;-11.5;42;6.5;Active;Inactive;Inactive;Inactive;26.4;-32.1;76;Active;Inactive;Inactive;16.8
15 01 2019 03:05:00;-12.2;88;6.5;Active;Inactive;Inactive;Inactive;25.2;-34.4;17;Active;Inactive;Active;18
15 01 2019 03:10:00;-15.8;26;6.5;Active;Inactive;Inactive;Inactive;31.2;-33.2;43;Active;Inactive;Inactive;19.2
15 01 2019 03:15:00;-12.7;80;6.4;Active;Inactive;Inactive;Inactive;25.2;-32.8;47;Active;Inactive;Active;19.2
15 01 2019 03:20:00;-14.8;42;6.3;Active;Inactive;Inactive;Inactive;24;-32.4;72;Active;Inactive;Inactive;18
15 01 2019 03:25:00;-14.1;55;6.3;Active;Inactive;Inactive;Inactive;30;-33.8;48;Active;Inactive;Inactive;19.2
15 01 2019 03:30:00;-16.6;13;6.3;Active;Inactive;Inactive;Inactive;25.2;-33;43;Active;Inactive;Active;19.2
15 01 2019 03:35:00;-16;23;6.3;Active;Inactive;Inactive;Inactive;31.2;-31.2;99;Active;Inactive;Inactive;19.2
15 01 2019 03:40:00;-17.9;0;6.3;Active;Active;Inactive;Inactive;25.2;-34.6;27;Active;Inactive;Inactive;18
15 01 2019 03:45:00;-16.3;8;6.2;Active;Inactive;Inactive;Inactive;26.4;-30.4;62;Active;Inactive;Active;20.4
15 01 2019 03:50:00;-13.1;72;6.1;Active;Inactive;Active;Inactive;26.4;-35.2;0;Active;Inactive;Active;18
15 01 2019 03:55:00;-12.9;78;6.1;Active;Inactive;Inactive;Inactive;25.2;-33.2;45;Active;Inactive;Inactive;19.2
15 01 2019 04:00:00;-12.3;90;6.1;Active;Inactive;Inactive;Inactive;30;-32.8;51;Active;Inactive;Active;15.6
15 01 2019 04:05:00;-17.4;11;6.1;Active;Inactive;Active;Inactive;21.6;-34.1;24;Active;Inactive;Active;19.2
15 01 2019 04:10:00;-9.1;88;6.1;Active;Inactive;Inactive;Inactive;27.6;-33.1;48;Active;Inactive;Inactive;18
15 01 2019 04:15:00;-12.4;84;6.1;Active;Inactive;Inactive;Inactive;27.6;-31;93;Active;Inactive;Active;19.2
15 01 2019 04:20:00;-16.5;10;6.1;Active;Inactive;Active;Inactive;26.4;-31.7;83;Active;Inactive;Inactive;18
15 01 2019 04:25:00;-12.7;82;6.1;Active;Inactive;Inactive;Inactive;28.8;-31;88;Active;Inactive;Inactive;19.2
15 01 2019 04:30:00;-16;19;6.1;Active;Active;Inactive;Inactive;24;-32.8;51;Active;Inactive;Inactive;18
15 01 2019 04:35:00;-12.3;89;6;Active;Inactive;Inactive;Inactive;28.8;-31;97;Active;Inactive;Inactive;22.8
15 01 2019 04:40:00;-15;37;6;Active;Inactive;Active;Inactive;26.4;-34.5;24;Active;Inactive;Active;22.8
15 01 2019 04:45:00;-13.5;69;6;Active;Inactive;Inactive;Inactive;22.8;-33.7;57;Active;Inactive;Inactive;22.8
15 01 2019 04:50:00;-13;81;5.9;Active;Inactive;Inactive;Inactive;26.4;-33.7;73;Active;Inactive;Inactive;20.4
15 01 2019 04:55:00;-13;77;5.8;Active;Inactive;Inactive;Inactive;28.8;-29.8;100;Active;Inactive;Inactive;15.6
15 01 2019 05:00:00;-15.7;32;5.7;Active;Inactive;Active;Inactive;26.4;-30.9;100;Active;Inactive;Inactive;19.2
15 01 2019 05:05:00;-9.5;47;5.7;Active;Inactive;Active;Inactive;30;-33.6;36;Active;Inactive;Active;20.4
15 01 2019 05:10:00;-13.9;59;5.7;Active;Active;Inactive;Inactive;21.6;-33.3;60;Active;Inactive;Active;20.4
15 01 2019 05:15:00;-15;30;5.7;Active;Active;Inactive;Inactive;25.2;-33;87;Active;Inactive;Inactive;18
15 01 2019 05:20:00;-13;75;5.7;Active;Inactive;Inactive;Inactive;25.2;-34.2;70;Active;Inactive;Inactive;18
15 01 2019 05:25:00;-13.3;61;5.6;Active;Active;Inactive;Inactive;30;-32.7;51;Active;Inactive;Active;19.2
15 01 2019 05:30:00;-15.7;25;5.6;Active;Inactive;Inactive;Inactive;25.2;-34.6;13;Active;Inactive;Active;18
15 01 2019 05:35:00;-14.2;56;5.6;Active;Inactive;Inactive;Inactive;25.2;-33.8;29;Active;Inactive;Inactive;18
15 01 2019 05:40:00;-12.4;86;5.6;Active;Inactive;Inactive;Inactive;27.6;-34.2;24;Active;Inactive;Inactive;18
15 01 2019 05:45:00;-11.2;100;5.6;Active;Inactive;Inactive;Inactive;26.4;-33.6;37;Active;Inactive;Active;20.4
15 01 2019 05:50:00;-13.8;60;5.6;Active;Inactive;Inactive;Inactive;26.4;-32.2;87;Active;Inactive;Inactive;19.2
15 01 2019 05:55:00;-15.5;29;5.6;Active;Inactive;Active;Inactive;24;-35.6;0;Active;Inactive;Inactive;20.4
15 01 2019 06:00:00;-14.4;53;5.6;Active;Inactive;Inactive;Inactive;26.4;-32.4;56;Active;Inactive;Active;19.2
15 01 2019 06:05:00;-13.5;66;5.6;Active;Inactive;Active;Inactive;25.2;-32.1;73;Active;Inactive;Inactive;20.4
15 01 2019 06:10:00;-11.8;99;5.6;Active;Inactive;Inactive;Inactive;22.8;-35;0;Inactive;Inactive;Inactive;21.6
15 01 2019 06:15:00;-15.5;26;5.6;Active;Inactive;Inactive;Inactive;30;-34.5;16;Active;Inactive;Inactive;20.4
15 01 2019 06:20:00;-15.2;40;5.6;Active;Inactive;Active;Inactive;24;-33.7;34;Active;Inactive;Active;18
15 01 2019 06:25:00;-12.4;93;5.5;Active;Inactive;Inactive;Inactive;27.6;-33;62;Active;Inactive;Inactive;18
15 01 2019 06:30:00;-13.5;64;5.5;Active;Inactive;Active;Inactive;30;-31.8;69;Active;Inactive;Active;19.2
15 01 2019 06:35:00;-18.7;0;5.5;Active;Inactive;Active;Inactive;28.8;-31.6;79;Active;Inactive;Inactive;19.2
15 01 2019 06:40:00;-14.4;48;5.4;Active;Inactive;Active;Inactive;34.8;-32.1;71;Active;Inactive;Active;20.4
15 01 2019 06:45:00;-15.2;41;5.4;Active;Inactive;Inactive;Inactive;25.2;-32;80;Active;Inactive;Inactive;18
15 01 2019 06:50:00;-14.1;56;5.4;Active;Inactive;Inactive;Inactive;27.6;-32.4;61;Active;Inactive;Inactive;18
15 01 2019 06:55:00;-16.2;15;5.4;Active;Inactive;Active;Inactive;30;-31.8;82;Active;Inactive;Inactive;19.2
15 01 2019 07:00:00;-17.8;0;5.4;Active;Inactive;Inactive;Active;24;-32.9;51;Active;Inactive;Inactive;14.4
15 01 2019 07:05:00;-14.2;51;5.4;Active;Inactive;Active;Inactive;28.8;-33.7;39;Active;Inactive;Inactive;16.8
15 01 2019 07:10:00;-16.5;11;5.4;Active;Inactive;Active;Inactive;34.8;-33.9;26;Active;Inactive;Active;20.4
15 01 2019 07:15:00;-14.6;44;5.4;Active;Inactive;Inactive;Active;31.2;-33.3;47;Active;Inactive;Active;16.8
15 01 2019 07:20:00;-12.9;87;5.4;Active;Inactive;Inactive;Inactive;24;-35;0;Inactive;Inactive;Inactive;16.8
15 01 2019 07:25:00;-12.3;100;5.4;Active;Inactive;Inactive;Inactive;33.6;-31.8;80;Active;Inactive;Inactive;20.4
15 01 2019 07:30:00;-16.3;14;5.4;Active;Inactive;Active;Inactive;27.6;-34.8;6;Active;Inactive;Active;18
15 01 2019 07:35:00;-13.5;66;5.4;Active;Inactive;Inactive;Inactive;26.4;-34.2;26;Active;Inactive;Inactive;16.8
15 01 2019 07:40:00;-12.7;84;5.4;Active;Inactive;Active;Inactive;30;-30.5;100;Active;Inactive;Inactive;19.2
15 01 2019 07:45:00;-9.6;82;5.5;Active;Inactive;Inactive;Active;32.4;-34.4;26;Active;Inactive;Active;18
15 01 2019 07:50:00;-15.2;40;5.5;Active;Inactive;Inactive;Active;26.4;-32.4;81;Active;Inactive;Inactive;15.6
15 01 2019 07:55:00;-13.3;72;5.5;Active;Inactive;Inactive;Active;31.2;-33.7;40;Active;Inactive;Active;19.2
15 01 2019 08:00:00;-14.8;47;5.5;Active;Inactive;Inactive;Active;20.4;-34.1;38;Active;Inactive;Inactive;18
15 01 2019 08:05:00;-11.2;100;5.6;Active;Inactive;Inactive;Inactive;31.2;-33.4;38;Active;Inactive;Inactive;19.2
15 01 2019 08:10:00;-14.2;57;5.7;Active;Inactive;Inactive;Active;28.8;-31.9;67;Active;Inactive;Active;20.4
15 01 2019 08:15:00;-16.2;19;5.7;Active;Inactive;Inactive;Active;27.6;-33.2;53;Active;Inactive;Inactive;16.8
15 01 2019 08:20:00;-17.1;0;5.8;Active;Inactive;Inactive;Active;28.8;-34.1;25;Active;Inactive;Inactive;19.2
15 01 2019 08:25:00;-13.5;66;5.8;Active;Inactive;Inactive;Active;27.6;-34.6;18;Active;Inactive;Active;24
15 01 2019 08:30:00;-14.5;47;5.8;Active;Inactive;Inactive;Inactive;26.4;-31;90;Active;Inactive;Inactive;21.6
15 01 2019 08:35:00;-13.8;61;5.9;Active;Inactive;Inactive;Active;27.6;-32.1;65;Active;Inactive;Inactive;22.8
15 01 2019 08:40:00;-14.8;40;5.9;Active;Inactive;Inactive;Inactive;30;-32.9;52;Active;Inactive;Inactive;22.8
15 01 2019 08:45:00;-14.9;44;6;Active;Inactive;Inactive;Active;21.6;-33.9;32;Active;Inactive;Inactive;20.4
15 01 2019 08:50:00;-14.4;0;6.1;Inactive;Inactive;Inactive;Inactive;27.6;-34.2;20;Active;Inactive;Inactive;16.8
15 01 2019 08:55:00;-11.9;96;6.1;Active;Inactive;Inactive;Active;27.6;-32.8;47;Active;Inactive;Active;16.8
15 01 2019 09:00:00;-12.3;91;6.2;Active;Inactive;Inactive;Inactive;16.8;-26.1;6;Active;Inactive;Active;19.2
15 01 2019 09:05:00;-11.4;0;6.2;Inactive;Inactive;Inactive;Inactive;21.6;-33.4;45;Active;Inactive;Inactive;15.6
15 01 2019 09:10:00;-15.8;32;6.3;Active;Inactive;Inactive;Inactive;21.6;-34.7;0;Inactive;Inactive;Inactive;18
15 01 2019 09:15:00;-16;46;6.5;Active;Inactive;Inactive;Inactive;27.6;-32.4;60;Active;Inactive;Active;19.2
15 01 2019 09:20:00;-16;24;6.5;Active;Inactive;Inactive;Inactive;24;-30.9;98;Active;Inactive;Inactive;16.8
15 01 2019 09:25:00;-8.2;43;6.5;Active;Inactive;Inactive;Inactive;24;-32.2;70;Active;Inactive;Inactive;15.6
15 01 2019 09:30:00;-14.4;48;6.6;Active;Inactive;Inactive;Inactive;21.6;-32.4;61;Active;Inactive;Inactive;18
15 01 2019 09:35:00;-16.5;4;6.8;Active;Inactive;Inactive;Inactive;22.8;-33;0;Inactive;Inactive;Inactive;16.8
15 01 2019 09:40:00;-13.3;69;6.9;Active;Inactive;Inactive;Inactive;22.8;-32.4;58;Active;Inactive;Active;18
15 01 2019 09:45:00;-15;44;7;Active;Inactive;Inactive;Inactive;28.8;-34.6;29;Active;Inactive;Inactive;16.8
15 01 2019 09:50:00;-16.6;5;7.2;Active;Inactive;Inactive;Inactive;21.6;-31.9;0;Inactive;Inactive;Inactive;16.8
15 01 2019 09:55:00;-14.4;53;7.3;Active;Inactive;Inactive;Inactive;31.2;-32.5;54;Active;Inactive;Active;20.4
15 01 2019 10:00:00;-16.6;6;7.4;Active;Inactive;Inactive;Inactive;31.2;-30.2;100;Active;Inactive;Active;21.6
15 01 2019 10:05:00;-11.1;100;7.5;Active;Inactive;Inactive;Inactive;37.2;-31.2;93;Active;Active;Active;22.8
15 01 2019 10:10:00;-14.4;51;7.6;Active;Active;Inactive;Inactive;27.6;-33.8;49;Active;Inactive;Active;18
15 01 2019 10:15:00;-18.1;0;7.7;Active;Inactive;Inactive;Inactive;28.8;-33.5;61;Active;Inactive;Inactive;19.2
15 01 2019 10:20:00;-14.9;37;7.9;Active;Inactive;Inactive;Inactive;31.2;-32.2;63;Active;Active;Inactive;15.6
15 01 2019 10:25:00;-10.4;100;8.3;Active;Inactive;Inactive;Inactive;27.6;-31.2;85;Active;Active;Inactive;20.4
15 01 2019 10:30:00;-16.2;21;8.4;Active;Inactive;Inactive;Inactive;25.2;-32.6;55;Active;Active;Inactive;18
15 01 2019 10:35:00;-15.7;30;8.5;Active;Inactive;Inactive;Inactive;30;-25.3;36;Active;Inactive;Inactive;19.2
15 01 2019 10:40:00;-9.2;100;8.6;Active;Inactive;Inactive;Inactive;36;-33.3;39;Active;Inactive;Active;20.4
15 01 2019 10:45:00;-12.9;81;8.9;Active;Inactive;Inactive;Inactive;30;-33.7;51;Active;Inactive;Active;20.4
15 01 2019 10:50:00;-14.5;45;9.1;Active;Inactive;Inactive;Inactive;28.8;-33.2;81;Active;Inactive;Active;20.4
15 01 2019 10:55:00;-12.6;83;9.3;Active;Inactive;Inactive;Inactive;28.8;-31.3;100;Active;Inactive;Inactive;19.2
15 01 2019 11:00:00;-18.1;0;9.4;Active;Inactive;Inactive;Inactive;27.6;-33.4;39;Active;Inactive;Active;21.6
15 01 2019 11:05:00;-14.5;45;9.4;Active;Inactive;Inactive;Inactive;31.2;-33.4;59;Active;Inactive;Active;20.4
15 01 2019 11:10:00;-16.8;0;9.5;Active;Inactive;Inactive;Inactive;28.8;-31.7;100;Active;Inactive;Inactive;15.6
15 01 2019 11:15:00;-13.7;65;9.5;Active;Inactive;Inactive;Inactive;24;-30.7;96;Active;Inactive;Inactive;19.2
15 01 2019 11:20:00;-16.3;15;9.5;Active;Inactive;Inactive;Inactive;30;-29.4;100;Active;Inactive;Inactive;21.6
15 01 2019 11:25:00;-13.7;59;9.5;Active;Inactive;Inactive;Inactive;31.2;-33.2;47;Active;Active;Active;20.4
15 01 2019 11:30:00;-9.9;100;9.5;Active;Inactive;Inactive;Inactive;31.2;-32.8;51;Active;Inactive;Active;19.2
15 01 2019 11:35:00;-9.8;100;9.5;Active;Inactive;Inactive;Inactive;33.6;-31.7;73;Active;Inactive;Active;19.2
15 01 2019 11:40:00;-12.2;88;9.7;Active;Inactive;Inactive;Inactive;34.8;-32.9;55;Active;Inactive;Active;20.4
15 01 2019 11:45:00;-16.5;15;9.8;Active;Active;Inactive;Inactive;31.2;-33.4;66;Active;Inactive;Active;20.4
15 01 2019 11:50:00;-15.4;33;9.9;Active;Active;Inactive;Inactive;34.8;-31;100;Active;Inactive;Active;21.6
15 01 2019 11:55:00;-14.1;64;10.1;Active;Active;Inactive;Inactive;21.6;-33.8;83;Active;Inactive;Active;14.4
15 01 2019 12:00:00;-14.1;58;10.3;Active;Inactive;Inactive;Inactive;51.6;-31.1;100;Active;Inactive;Inactive;25.2
15 01 2019 12:05:00;-14.9;39;10.5;Active;Active;Active;Active;45.6;-32.2;63;Active;Active;Active;21.6
15 01 2019 12:10:00;-16.3;20;10.7;Active;Active;Inactive;Inactive;40.8;-34.2;35;Active;Active;Active;21.6
15 01 2019 12:15:00;-14.1;57;10.9;Active;Active;Inactive;Inactive;40.8;-33.8;69;Active;Inactive;Active;16.8
15 01 2019 12:20:00;-13.9;68;11.1;Active;Active;Inactive;Inactive;33.6;-32.6;100;Active;Inactive;Active;21.6
15 01 2019 12:25:00;-13.5;64;11.2;Active;Active;Inactive;Inactive;31.2;-33.1;100;Active;Inactive;Active;20.4
15 01 2019 12:30:00;-13.9;60;11.3;Active;Active;Inactive;Inactive;42;-32.2;63;Active;Inactive;Active;20.4
15 01 2019 12:35:00;-14.9;41;11.5;Active;Active;Inactive;Active;36;-30.5;97;Active;Inactive;Active;21.6
15 01 2019 12:40:00;-14.2;51;11.7;Active;Inactive;Active;Inactive;38.4;-31.2;82;Active;Inactive;Active;20.4
15 01 2019 12:45:00;-13;80;11.8;Active;Inactive;Active;Inactive;37.2;-33.1;41;Active;Inactive;Active;21.6
15 01 2019 12:50:00;-16.3;14;11.9;Active;Inactive;Inactive;Active;32.4;-34;25;Active;Inactive;Inactive;24
15 01 2019 12:55:00;-10.1;52;12;Active;Inactive;Inactive;Active;39.6;-31.1;84;Active;Inactive;Active;24
15 01 2019 13:00:00;-12.3;90;12;Active;Inactive;Active;Inactive;32.4;-33.5;41;Active;Inactive;Active;24
15 01 2019 13:05:00;-9.8;48;12;Active;Inactive;Active;Inactive;44.4;-31.6;73;Active;Active;Inactive;24
15 01 2019 13:10:00;-16.8;9;12.1;Active;Inactive;Active;Inactive;34.8;-31.7;76;Active;Active;Inactive;16.8
15 01 2019 13:15:00;-9.2;41;12.2;Active;Inactive;Inactive;Active;34.8;-32.1;70;Active;Active;Inactive;20.4
15 01 2019 13:20:00;-16.2;19;12.3;Active;Inactive;Active;Inactive;37.2;-31.6;86;Active;Active;Inactive;22.8
15 01 2019 13:25:00;-13;74;12.3;Active;Inactive;Inactive;Active;42;-33.8;42;Active;Active;Active;21.6
