CNT-Porto Mós CNT-Porto Mós 09111019.csv,,CNT-Porto Mós,1566714406,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,,%,,%,,%,%,,,,,,,%,,,,%,degc,degc,%,degc,Bar,,,,%,,,,,,%,,,%,,,,%,,%,,,,,%,,%,,,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:00:00  25/08/2019,5.33,82.22,74.56,7,72.46,32,29.00,-7.83,-27.50,3,37,32,31.11,3.67,71.61,-29.00,33.71,31,13.00,15.06,27.67,32,26.94,9,0.40,1,74.67,64.50,81.28,1,65.00,28.89,0.00,28.44,1,20,23,3984,3983,14.26,101551,0,51406,27305,23,0,-4.00,15,3983,1,0,0,0,0,35.20,2.06,2.39,65.00,0,38,-4.00,29,12.89,5.28,82.22,72.78,-7.78,1,35.52,26.80,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.57,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.39,0.00,26.61,36.20,2.11,10.00,20.00,1,17.78,11.72,5.50,12,16.78,2.78,50.10,20.72,36.50,1,0.00,20.00,2,4.60,30.20,20.10,-5.40,11.00,4.50,19.80,231.50,233.60,233.60,46.80,22.10,21.20
 16:02:00  25/08/2019,5.33,84.06,74.97,7,75.84,30,28.72,-6.78,-28.17,2,46,50,31.39,3.22,65.94,-29.00,33.71,31,11.44,13.50,27.67,30,27.28,9,0.40,1,73.94,64.50,80.83,1,65.00,28.89,0.00,28.83,1,19,19,3984,3983,13.80,101551,0,51406,27305,19,0,-4.00,14,3983,1,0,0,0,0,35.37,2.06,2.39,65.00,0,42,-4.00,29,14.67,8.06,83.56,76.05,-6.83,1,35.52,27.46,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.57,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.39,0.00,26.61,36.20,2.11,10.00,20.00,1,16.72,11.72,5.50,12,16.78,2.78,49.50,19.72,36.50,1,0.00,20.00,2,4.60,30.20,17.40,-5.40,8.10,4.50,19.80,231.50,233.60,233.60,36.20,22.10,21.20
 16:04:00  25/08/2019,5.33,85.89,75.46,7,78.83,27,28.72,-6.78,-28.56,2,47,50,31.72,3.22,65.94,-29.00,33.71,31,10.78,13.50,27.67,27,27.28,9,0.40,1,74.22,64.50,81.50,1,65.00,28.89,0.00,28.83,1,20,19,3984,3983,13.60,101551,0,51406,27305,19,0,-4.00,16,3983,1,0,0,0,0,35.72,2.56,2.39,65.00,0,47,-4.00,29,16.06,9.22,85.44,78.97,-6.83,1,35.52,27.46,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.57,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.00,0.00,26.61,36.20,2.72,10.00,20.00,1,15.89,11.72,5.50,12,16.78,3.11,46.20,19.11,36.50,1,0.00,20.00,2,4.60,30.20,17.40,-5.40,8.10,4.50,19.80,231.50,233.60,233.60,36.20,22.10,21.20
 16:06:00  25/08/2019,5.33,87.28,75.76,7,79.24,22,28.72,-7.11,-28.56,2,49,50,31.72,3.22,69.33,-29.00,33.71,31,10.78,13.78,27.67,22,27.28,9,0.40,1,74.89,64.50,82.72,1,65.00,28.56,0.00,29.17,1,25,23,3984,3983,13.73,101552,0,51406,27305,23,0,-4.00,18,3983,1,0,0,0,0,36.03,2.89,2.39,65.00,0,50,-4.00,29,14.89,7.72,87.11,79.37,-7.11,1,35.52,27.20,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.57,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.00,0.00,26.89,36.80,3.00,10.00,20.00,1,16.22,11.72,5.50,12,16.78,3.39,45.00,19.72,37.20,1,0.00,20.00,2,4.60,30.20,17.40,-5.40,8.10,4.50,19.80,231.50,233.60,233.60,36.20,22.10,21.20
 16:08:00  25/08/2019,5.33,87.00,75.95,7,77.78,30,29.94,-7.11,-28.56,2,50,50,32.22,3.67,70.28,-29.00,33.71,31,11.72,14.61,27.67,30,27.56,9,0.40,1,75.61,64.78,82.72,1,65.00,29.94,0.00,29.17,1,24,23,3984,3983,13.60,101553,0,51407,27306,23,0,-4.00,21,3984,1,0,0,0,0,35.98,2.89,2.39,65.00,0,49,-4.00,29,15.56,8.33,86.72,77.99,-7.11,1,35.52,27.03,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.61,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.00,0.00,26.89,36.80,3.00,10.00,20.00,1,16.22,11.72,5.50,12,16.78,3.39,45.00,19.72,37.20,1,0.00,20.00,2,4.60,30.20,17.40,-5.40,8.10,4.50,19.80,231.50,233.60,233.60,36.20,22.10,21.20
 16:10:00  25/08/2019,5.33,87.00,75.95,7,77.78,30,29.94,-7.11,-28.56,2,50,50,32.22,3.67,70.28,-29.00,33.71,31,11.72,14.61,27.67,30,27.56,9,0.40,1,75.61,64.78,82.72,1,65.00,29.94,0.00,29.17,1,24,23,3984,3983,13.60,101553,0,51407,27306,23,0,-4.00,21,3984,1,0,0,0,0,35.98,2.89,2.39,65.00,0,49,-4.00,29,15.56,8.33,86.72,77.99,-7.11,1,35.52,27.03,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.61,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.00,0.00,26.89,36.80,3.00,10.00,20.00,1,17.00,11.72,5.50,12,16.78,3.39,45.60,20.28,37.20,1,0.00,20.00,2,4.60,30.20,17.40,-5.40,8.10,4.50,19.80,231.50,233.60,233.60,36.20,22.10,21.20
 16:12:00  25/08/2019,5.33,88.00,76.23,7,79.07,21,28.83,-7.94,-29.17,2,49,50,32.72,3.67,70.61,-29.00,33.71,31,11.72,14.61,27.67,21,27.56,9,0.40,1,76.56,64.78,82.72,1,65.00,28.83,0.00,29.17,1,24,23,3984,3983,13.33,101553,0,51407,27306,23,0,-4.00,22,3984,1,0,0,0,0,36.06,2.89,2.39,65.00,0,49,-4.00,29,17.28,9.44,87.61,79.31,-7.89,1,35.52,26.57,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.61,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,17.78,24.00,0.00,26.89,36.80,3.00,10.00,20.00,1,16.50,11.72,5.50,12,16.50,3.39,45.60,20.28,37.20,1,0.00,20.00,2,4.60,30.20,16.70,-5.40,8.10,4.50,19.00,232.40,233.60,233.60,35.10,21.00,21.20
