CNT-Porto Mós CNT-Porto Mós 09111019.csv,,CNT-Porto Mós,1566714406,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
 17:44:00  26/08/2019,5.33,99.72,84.12,7,89.90,31,30.50,-7.44,-28.72,2,72,66,30.94,2.22,71.56,-29.00,33.71,37,10.06,12.17,27.67,31,30.94,9,0.00,1,54.44,61.28,94.94,1,65.00,30.39,0.00,32.94,1,47,45,4029,4029,13.57,102503,0,51898,27549,45,0,-4.00,39,4029,1,0,0,0,0,35.44,2.11,2.39,65.00,0,47,-4.00,29,17.94,10.56,99.56,90.01,-7.39,1,35.52,26.85,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.72,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,0,0.00,32.28,23.61,0.00,27.78,35.10,1.28,10.00,20.00,1,11.00,1.11,0.10,12,13.72,2.11,49.00,13.22,35.90,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,17.20,231.00,231.40,231.70,36.70,20.90,34.10
 17:46:00  26/08/2019,5.33,99.72,84.12,7,89.90,31,30.50,-7.44,-28.72,2,72,66,30.94,2.22,71.56,-29.00,33.71,37,10.06,12.17,27.67,31,30.94,9,0.00,1,54.44,61.28,94.94,1,65.00,30.39,0.00,32.94,1,47,45,4029,4029,13.57,102503,0,51898,27549,45,0,-4.00,39,4029,1,0,0,0,0,35.44,2.11,2.39,65.00,0,47,-4.00,29,17.94,10.56,99.56,90.01,-7.39,1,35.52,26.85,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.72,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,32.28,23.61,8.30,26.11,36.20,2.39,10.00,20.00,1,12.78,3.50,1.70,12,15.22,2.89,40.80,15.78,36.60,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,17.20,231.00,231.40,231.70,36.70,20.90,34.10
 17:48:00  26/08/2019,5.33,97.56,84.16,7,87.12,23,31.22,-7.44,-28.72,2,73,66,31.28,2.56,70.89,-29.00,33.71,37,11.39,14.33,27.67,23,30.94,9,0.00,0,53.39,60.94,98.89,1,65.00,31.17,0.00,32.94,1,52,55,4030,4029,13.57,102505,0,51898,27549,55,0,-4.00,41,4029,1,0,0,0,0,36.03,2.83,2.39,65.00,0,49,-4.00,29,19.28,11.94,100.94,87.49,-7.39,1,35.52,27.03,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.72,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,31.22,22.89,0.00,26.11,36.80,3.00,10.00,20.00,1,16.39,2.28,1.10,12,15.72,3.39,42.20,19.89,37.20,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,17.20,231.00,231.40,231.70,36.70,20.90,34.10
 17:50:00  26/08/2019,5.33,82.17,84.16,7,78.67,94,31.50,-6.56,-28.72,2,74,66,31.89,3.11,71.22,-29.00,33.71,37,12.56,15.78,27.67,94,30.94,9,0.00,0,51.61,60.94,98.28,1,65.00,31.72,0.00,32.94,1,25,26,4030,4029,13.57,102509,0,51900,27550,26,0,-4.00,42,4029,1,0,0,0,0,36.21,3.22,2.39,65.00,0,50,-4.00,29,19.28,12.56,99.00,79.07,-6.67,1,35.52,27.67,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.72,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,29.89,22.89,0.00,26.11,36.80,3.00,10.00,20.00,1,16.39,0.22,0.10,12,13.50,3.39,48.60,20.28,37.20,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,17.20,231.00,231.40,231.70,36.70,20.90,34.10
 17:52:00  26/08/2019,5.33,82.78,84.05,7,83.38,61,30.00,-10.06,-29.17,2,72,66,32.56,3.39,70.11,-29.00,33.71,37,11.89,15.22,27.67,61,30.94,9,0.00,0,51.61,60.94,97.17,1,65.00,30.06,0.00,32.94,1,26,29,4030,4029,13.31,102510,0,51900,27550,29,0,-4.00,43,4029,1,0,0,0,0,36.52,3.22,2.39,65.00,0,34,-4.00,50,16.94,6.72,96.83,84.08,-10.00,1,35.52,24.93,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,28.72,22.89,0.00,26.39,36.80,3.50,10.00,19.72,12,12.72,0.22,0.10,12,13.22,4.11,47.20,16.89,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.00,231.40,232.40,36.70,20.90,34.10
 17:54:00  26/08/2019,5.33,81.50,83.86,7,84.19,38,30.00,-7.67,-29.17,2,71,66,32.89,3.39,69.39,-29.00,33.71,37,11.56,14.56,27.67,38,30.94,9,0.00,0,53.94,60.67,96.22,1,65.00,30.06,0.00,32.94,1,24,23,4030,4029,13.31,102511,0,51901,27551,23,0,-4.00,43,4029,1,0,0,0,0,36.22,3.22,2.39,65.00,0,35,-4.00,29,15.22,7.56,96.17,84.54,-7.72,1,35.52,26.75,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,27.50,22.89,0.00,26.39,36.80,3.22,10.00,19.72,12,12.22,0.22,0.10,12,12.89,3.78,46.60,16.11,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.00,231.40,232.40,36.70,20.90,34.10
 17:56:00  26/08/2019,5.33,81.50,83.86,7,84.19,38,30.00,-7.67,-29.17,2,71,66,32.89,3.39,69.39,-29.00,33.71,37,11.56,14.56,27.67,38,30.94,9,0.00,0,53.94,60.67,96.22,1,65.00,30.06,0.00,32.94,1,24,23,4030,4029,13.31,102511,0,51901,27551,23,0,-4.00,43,4029,1,0,0,0,0,36.22,3.22,2.39,65.00,0,35,-4.00,29,15.22,7.56,96.17,84.54,-7.72,1,35.52,26.75,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,27.50,22.89,0.00,26.39,36.80,3.22,10.00,19.72,12,12.22,0.22,0.10,12,12.89,3.78,46.60,16.11,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.00,231.40,232.40,36.70,20.90,34.10
 17:58:00  26/08/2019,5.33,81.50,83.86,7,84.73,32,31.06,-7.17,-29.17,2,70,66,32.89,3.39,71.11,-29.00,33.71,37,11.56,14.56,27.67,32,30.94,9,0.00,0,57.44,60.67,95.28,1,65.00,31.00,0.00,32.94,1,24,23,4030,4029,13.23,102511,0,51901,27551,23,0,-4.00,43,4029,1,0,0,0,0,36.22,3.22,2.39,65.00,0,39,-4.00,29,15.61,8.50,95.50,85.07,-7.17,1,35.52,27.18,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,26.50,22.89,0.00,26.39,36.80,3.22,10.00,19.72,12,12.72,0.22,0.10,12,11.78,3.78,48.50,16.61,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.00,231.40,232.40,36.70,20.90,34.10
 18:00:00  26/08/2019,5.33,82.17,83.86,7,84.89,27,31.56,-7.17,-29.17,2,70,66,32.89,3.67,71.89,-29.00,33.71,37,11.56,14.56,27.67,27,30.94,9,0.00,0,61.67,60.67,93.39,1,65.00,31.61,0.00,32.94,1,24,23,4030,4029,13.35,102511,0,51901,27551,23,0,-4.00,43,4029,1,0,0,0,0,36.47,3.22,2.39,65.00,0,42,-4.00,29,17.39,10.39,95.50,85.24,-7.17,1,35.52,27.26,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,25.61,22.89,0.00,26.39,36.80,3.22,10.00,19.39,12,12.11,0.22,0.10,12,10.72,4.11,49.70,16.28,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.00,231.40,232.40,36.70,20.90,34.10
 18:02:00  26/08/2019,5.33,83.11,83.82,7,86.65,86,31.00,-8.28,-29.17,2,69,66,32.89,3.67,72.56,-29.00,33.71,37,11.56,14.17,27.67,86,30.67,9,0.00,0,65.22,60.39,91.33,1,65.00,31.22,0.00,32.94,1,18,16,4030,4029,13.31,102513,0,51901,27551,16,0,-4.00,42,4029,1,0,0,0,0,36.03,2.89,2.39,65.00,0,44,-4.00,50,18.89,10.67,94.89,87.21,-7.94,1,35.52,26.31,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-2.11,31.76,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,24.78,23.28,1.70,26.39,36.80,3.22,10.00,19.39,12,10.28,0.22,0.10,12,10.28,3.78,51.20,14.22,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.80,232.10,232.90,35.30,21.40,33.10
 18:04:00  26/08/2019,5.33,85.56,83.61,7,86.84,50,29.61,-8.83,-29.17,2,69,66,32.89,3.67,70.17,-29.00,33.71,37,10.61,14.17,27.67,50,30.67,9,0.00,0,66.50,60.39,90.39,1,65.00,29.67,0.00,32.94,1,49,52,4031,4030,13.40,102521,0,51906,27553,52,0,-4.00,43,4030,1,0,0,0,0,36.59,3.50,2.39,65.00,0,32,-4.00,29,18.17,9.22,101.11,87.15,-9.17,1,35.52,25.88,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,24.22,23.00,0.00,26.39,37.30,3.50,10.00,19.39,12,10.78,0.22,0.10,12,11.28,3.78,44.50,14.89,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.80,232.10,232.90,35.30,21.40,33.10
 18:06:00  26/08/2019,5.33,85.56,83.61,7,86.84,50,29.61,-8.83,-29.17,2,69,66,32.89,3.67,70.17,-29.00,33.71,37,10.61,14.17,27.67,50,30.67,9,0.00,0,66.50,60.39,90.39,1,65.00,29.67,0.00,32.94,1,49,52,4031,4030,13.40,102521,0,51906,27553,52,0,-4.00,43,4030,1,0,0,0,0,36.59,3.50,2.39,65.00,0,32,-4.00,29,18.17,9.22,101.11,87.15,-9.17,1,35.52,25.88,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,24.22,23.00,0.00,26.39,37.30,3.50,10.00,19.39,12,10.78,0.22,0.10,12,11.28,3.78,44.50,14.89,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.80,232.10,232.90,35.30,21.40,33.10
 18:08:00  26/08/2019,5.33,84.78,83.61,7,84.42,37,30.50,-7.67,-29.17,2,69,66,32.89,3.67,69.78,-29.00,33.71,37,11.39,14.78,27.67,37,30.67,9,0.00,0,66.89,60.39,89.78,1,65.00,30.39,0.00,32.94,1,49,52,4031,4030,13.40,102521,0,51906,27553,52,0,-4.00,43,4030,1,0,0,0,0,36.52,3.50,2.39,65.00,0,36,-4.00,29,17.78,10.00,97.61,84.79,-7.72,1,35.52,26.76,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,24.22,23.00,0.00,26.39,37.30,3.50,9.50,19.11,12,12.50,0.22,0.10,12,11.72,3.78,46.50,16.72,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.80,232.10,232.90,35.30,21.40,33.10
 18:10:00  26/08/2019,5.33,84.78,83.78,7,81.94,31,31.22,-7.94,-29.17,2,69,66,32.89,3.94,70.39,-29.00,33.71,43,11.39,15.28,27.67,31,31.00,9,0.00,0,66.89,60.39,89.00,1,65.00,31.22,0.00,32.94,1,39,39,4031,4030,13.46,102523,0,51907,27554,39,0,-4.00,42,4030,1,0,0,0,0,36.63,3.50,2.39,65.00,0,36,-4.00,29,16.56,8.67,95.28,82.65,-7.72,1,35.52,26.57,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,23.89,23.00,1.20,26.72,37.30,3.50,9.50,19.11,12,13.22,0.22,0.10,12,11.22,4.22,49.70,17.50,37.80,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,231.80,232.10,232.90,35.30,21.40,33.10
 18:12:00  26/08/2019,5.33,84.39,83.93,7,80.65,93,31.50,-7.39,-29.17,2,68,66,32.89,3.61,70.39,-29.00,33.71,43,13.17,14.56,27.67,93,31.00,9,0.00,0,66.89,60.39,88.50,1,65.00,31.61,0.00,32.94,1,8,10,4031,4030,13.29,102528,0,51910,27555,10,0,-4.00,38,4030,1,0,0,0,0,34.73,1.61,2.39,65.00,0,37,-4.00,29,17.06,9.72,93.11,81.15,-7.44,1,35.52,26.99,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,23.89,24.50,8.30,26.22,35.40,1.61,9.50,18.72,12,11.89,0.22,0.10,12,10.61,2.72,58.00,14.72,36.50,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,232.40,232.70,232.90,35.30,22.40,33.10
 18:14:00  26/08/2019,5.33,85.22,83.67,7,87.39,54,29.56,-8.00,-28.06,2,72,66,30.56,2.50,70.89,-29.00,33.71,36,9.67,11.06,27.67,54,30.56,9,0.00,0,67.22,60.11,87.67,1,65.00,29.56,0.00,32.94,1,18,16,4031,4030,14.01,102529,0,51910,27556,16,0,-4.00,36,4030,1,0,0,0,0,34.62,1.33,2.39,65.00,0,37,-4.00,29,19.11,11.28,96.17,87.54,-7.94,1,35.52,26.52,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,23.39,23.89,10.10,25.50,35.40,1.61,9.50,18.39,12,11.11,1.78,0.90,12,14.00,2.22,47.10,13.39,36.00,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,232.40,232.70,232.90,35.30,22.40,33.10
 18:16:00  26/08/2019,5.33,85.22,83.67,7,87.39,54,29.56,-8.00,-28.06,2,72,66,30.56,2.50,70.89,-29.00,33.71,36,9.67,11.06,27.67,54,30.56,9,0.00,0,67.22,60.11,87.67,1,65.00,29.56,0.00,32.94,1,18,16,4031,4030,14.01,102529,0,51910,27556,16,0,-4.00,36,4030,1,0,0,0,0,34.62,1.33,2.39,65.00,0,37,-4.00,29,19.11,11.28,96.17,87.54,-7.94,1,35.52,26.52,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,23.39,23.89,10.10,25.50,35.40,1.61,9.50,18.39,12,11.11,1.78,0.90,12,14.00,2.22,47.10,13.39,36.00,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,232.40,232.70,232.90,35.30,22.40,33.10
 18:18:00  26/08/2019,5.33,84.17,83.23,7,86.91,30,29.56,-7.06,-28.06,2,80,84,30.56,2.50,67.44,-29.00,33.71,37,10.22,12.67,27.67,30,30.22,9,0.00,0,67.22,60.11,87.00,1,65.00,29.56,0.00,32.61,1,24,23,4031,4030,13.73,102531,0,51912,27557,23,0,-4.00,37,4031,1,0,0,0,0,35.49,2.33,2.39,65.00,0,41,-4.00,29,20.33,13.33,99.17,87.14,-7.17,1,35.52,27.25,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,23.39,22.78,6.60,25.50,36.20,2.39,9.50,18.39,12,14.61,3.22,1.60,12,16.28,2.89,42.20,17.61,36.60,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,232.40,232.70,232.90,35.30,22.40,33.10
 18:20:00  26/08/2019,5.33,84.17,83.23,7,86.91,30,29.56,-7.06,-28.61,2,80,84,30.56,2.50,67.44,-29.00,33.71,37,10.22,12.67,27.67,28,30.22,9,0.00,0,67.22,60.11,87.00,1,65.00,29.56,0.00,32.61,1,24,23,4031,4030,13.73,102531,0,51912,27557,23,0,-4.00,37,4031,1,0,0,0,0,35.49,2.33,2.39,65.00,0,41,-4.00,50,20.33,13.33,99.17,90.13,-8.67,1,35.52,27.25,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.83,31.80,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,22.89,21.72,2.20,25.50,37.20,3.39,8.90,17.89,12,15.72,2.11,1.00,12,15.78,3.78,39.60,19.72,37.60,1,0.00,20.00,2,7.60,30.20,20.50,-5.50,8.10,4.60,20.50,232.40,232.70,232.90,35.30,22.40,33.10
