CNT-Porto Mós CNT-Porto Mós 08291846.csv,,CNT-Porto Mós,1566462281,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,,%,,%,,%,%,,,,,,,%,,,,%,degc,degc,%,degc,Bar,,,,%,,,,,,%,,,%,,,,%,,%,,,,,%,,%,,,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:00:00  22/08/2019,5.33,83.67,96.02,7,96.54,100,34.83,-8.67,-27.72,2,46,50,31.28,3.56,67.67,-29.00,32.56,37,12.67,15.72,38.39,100,36.39,9,0.00,0,69.72,65.17,74.00,1,65.00,34.83,32.50,38.28,1,0,0,3837,3836,13.91,98852,0,50011,26570,0,0,-8.00,41,3836,1,0,1,0,0,36.15,2.94,2.39,65.00,0,41,-8.00,50,13.72,5.28,112.83,96.95,-8.67,1,35.52,26.00,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,27.28,26.22,0.00,29.39,36.90,3.11,10.00,19.72,12,14.50,2.28,1.30,12,13.61,3.78,46.50,18.39,37.50,1,0.00,20.00,2,4.50,30.20,19.50,-6.00,10.60,4.30,19.70,227.50,230.00,229.80,46.80,20.30,21.50
 16:02:00  22/08/2019,5.33,84.11,96.16,7,96.40,100,34.83,-8.67,-29.67,2,41,50,33.28,3.56,65.28,-29.00,32.56,37,13.17,16.78,38.39,100,36.39,9,0.00,0,69.28,65.17,74.00,1,65.00,34.83,33.10,38.28,1,0,0,3837,3836,13.09,98852,0,50011,26570,0,0,-8.00,43,3836,1,0,1,0,0,36.78,3.61,2.39,65.00,0,40,-8.00,50,14.11,5.28,113.72,96.86,-8.67,1,35.52,26.11,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,26.78,26.22,0.00,29.89,37.50,3.78,10.00,19.39,12,13.72,0.78,0.40,12,12.22,4.50,47.10,18.39,38.20,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,19.70,227.50,229.20,229.00,36.60,22.30,20.20
 16:04:00  22/08/2019,5.33,84.83,96.44,7,96.12,100,35.11,-8.67,-30.33,2,36,50,34.28,3.94,69.56,-29.00,32.56,43,14.00,16.78,38.39,100,36.72,9,0.00,0,69.28,65.44,73.50,1,65.00,35.17,32.40,38.28,1,0,0,3837,3836,12.74,98852,0,50011,26570,0,0,-8.00,42,3836,1,0,1,0,0,36.03,2.89,2.39,65.00,0,37,-8.00,50,11.67,2.78,112.11,96.76,-8.67,1,35.52,25.89,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,26.00,26.72,3.70,29.89,36.80,3.00,10.00,19.39,12,10.78,0.22,0.40,12,11.22,3.78,49.00,14.72,37.60,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,19.70,227.50,229.20,229.00,36.60,22.30,20.20
 16:06:00  22/08/2019,5.33,84.83,96.66,7,95.29,100,35.11,-7.83,-30.33,2,28,28,34.28,3.94,71.56,-29.00,32.56,43,14.39,16.22,38.39,100,36.72,9,0.00,0,69.00,65.44,73.00,1,65.00,35.17,25.10,38.56,1,0,0,3837,3836,12.74,98852,0,50011,26570,0,0,-8.00,40,3836,1,0,1,0,0,35.05,2.00,2.39,65.00,0,34,-8.00,29,8.67,0.67,112.78,95.55,-8.06,1,35.52,26.65,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,25.28,26.72,10.30,28.89,35.70,1.89,10.00,19.39,12,11.72,0.22,0.40,12,11.22,2.89,51.00,14.72,36.70,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,19.70,227.50,229.20,229.00,36.60,22.30,20.20
 16:08:00  22/08/2019,5.33,83.72,97.02,7,96.48,100,35.50,-6.78,-30.33,2,22,22,34.28,3.94,74.00,-29.00,32.56,43,13.00,14.00,38.39,100,37.00,9,0.00,0,69.00,65.44,73.00,1,65.00,35.50,23.40,38.56,1,0,0,3837,3836,12.83,98852,0,50011,26570,0,0,-8.00,37,3836,1,0,1,0,0,34.29,1.11,2.39,65.00,0,40,-8.00,29,9.39,2.67,111.67,96.72,-6.78,1,35.52,27.47,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,25.28,27.22,16.00,28.50,35.00,1.22,9.50,19.11,12,10.22,0.78,0.40,12,11.61,2.28,51.00,12.61,36.10,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,19.70,227.50,229.20,229.00,36.60,22.30,20.20
 16:10:00  22/08/2019,5.33,83.72,97.02,7,96.48,100,35.50,-6.78,-30.33,2,22,22,34.28,3.94,74.00,-29.00,32.56,43,13.00,14.00,38.39,100,37.00,9,0.00,0,69.00,65.44,73.00,1,65.00,35.50,23.40,38.56,1,0,0,3837,3836,12.83,98852,0,50011,26570,0,0,-8.00,37,3836,1,0,1,0,0,34.29,1.11,2.39,65.00,0,40,-8.00,29,9.39,2.67,111.67,96.72,-6.78,1,35.52,27.47,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,25.28,27.22,16.00,28.50,35.00,1.22,9.50,19.11,12,10.22,0.78,0.40,12,11.61,2.28,51.00,12.61,36.10,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,19.70,227.50,229.20,229.00,36.60,22.30,20.20
 16:12:00  22/08/2019,5.33,83.11,97.16,7,97.24,100,35.22,-6.78,-29.94,2,20,20,33.56,3.61,74.67,-29.00,32.56,43,11.94,12.89,38.39,100,37.00,9,0.00,0,68.67,65.44,73.44,1,65.00,35.22,24.10,38.56,1,0,0,3837,3836,12.99,98852,0,50011,26570,0,0,-8.00,37,3836,1,0,1,0,0,34.23,1.11,2.39,65.00,0,45,-8.00,29,11.00,4.33,111.67,97.41,-6.78,1,35.52,27.47,-1.89,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-1.11,32.47,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,0,2,1,2,1,0,20.00,0,1,0.00,24.78,26.00,18.50,27.22,35.00,1.22,9.50,19.11,12,11.89,2.39,1.20,12,12.50,2.28,51.00,14.11,36.10,1,0.00,20.00,2,4.50,30.20,17.10,-6.00,8.00,4.80,18.00,227.50,229.20,229.00,35.90,22.30,20.20
