;time;temperatura_mandata_mt;temperatura_valle_uta;temperatura_valle_gc;temperatura_valle_rig_pdc;temperatura_uscita_rig_fascio;t_rec;temperatura_asp_eiettori;temperatura_out_rig_liquida_mt_bt;temperatura_out_evap_mt;temperatura_aspirazione_bt;temperatura_mandata_bt;temperatura_uscita_intercooler;temperatura_out_ev_mt_intercooler;temperatura_aspirazione_mt;temperatura_asp_aux_pdc;temperatura_asp_aux;temperatura_monte_pdc;t_out_uta_1e2_gc;t_out_uta_1_evap;t_out_uta_2_evap;temp_out_evap_1_2;t_out_evap_bt;pressione_mandata;pressione_ricevitore;p_out_evap_uta;pressione_spirazione_bt;pressione_aspirazione_aux_pdc;pressione_aspirazione_mt;pressione_monte_eiettore;portata_liquido_evap_uta;portata_gas_uta_heating;portata_liquido_mt;portata_liquido_bt;portata_gas_back_up_uta;inverter_aux_1;inverter_bt_1;inverter_mt_1;stato_mt1;stato_mt2;stato_mt3;stato_aux1;stato_aux2;stato_aux3;stato_aux4;stato_lt1;stato_lt2;stato_lt3;stato_level_asp1;stato_level_asp2;potenza_elettrica_totale;potenza_elettrica_mt;potenza_elettrica_aux;potenza_elettrica_lt;temp_out_acs;id;tin_acs;portata_acqua_acs;Calculated values ==>;Timestamp seconds;T1 MT discharge;T2 After AHU;T3 GC Outlet;T4 Inlet IHX 1;T5 Inlet IHX 2;T6 Receiver;T6 Receiver sat;T7 Ejector inlet;T8 Liquid out IHX;T9 MT section outlet;T10 LT suction;T11 LT discharge;T12 Intercooler outlet;T13 out intercooler and MT section;T14 MT suction;T15 Aux_HP suction;T16 Aux suction;T17 Inlet AHU (heating);T18 Outlet AHU (heating);T19 Outlet AHU (cooling);T20 Outlet AHU (cooling);T21 Water in DHW;T22 Water out DHW;T23 LT section outlet;LT evaporation temp;MT evaporation temp;AHU saturation temp;Tair external air;P1 discharge;P2 receiver;P3 AHU evaporation;P4 LT suction;P5 Aux HP suction;P6 MT suction;P7 ejector inlet;M1 AHU liquid (cooling);M2 AHU vapour (heating);M3 MT liquid;M4 LT liquid;M5 AHU (no ejectors);Mtotal AHU;DHW water;Power Meter MT;Power Meter AUX;Power Meter LT;Total Power;h1 Enthalpy;h2 Enthalpy;h3 Enthalpy;h4 Enthalpy;h5 Enthalpy;h6 Enthalpy sat;h7 Enthalpy;h9 Enthalpy;h10 Enthalpy;h11 Enthalpy;h12 Enthalpy;h13 Enthalpy;h14 Enthalpy;h15 Enthalpy;h16 Enthalpy;h17 Enthalpy;h18 Enthalpy;h19 Enthalpy;h20 Enthalpy;h21 Enthalpy;h22 Enthalpy;h23 Enthalpy;h8 Enthalpy calc;hmix Enthalpy;T8 calculated;Accumulated Etot;Accumulated E_MT;Accumulated E_LT;Accumulated E_AUX;Number of Cycles MT1;Number of Cycles MT2;Number of Cycles MT3;Number of Cycles AUX1;Number of Cycles AUX2;Number of Cycles AUX3;Number of Cycles AUX4;Number of Cycles LT1;Number of Cycles LT2;Number of Cycles LT3;Accumulated Pevap P3;Accumulated Pevap P4;Accumulated Pevap P6;Cooling duty MT evap;Cooling duty LT evap;Heating duty rooftop heating;Cooling duty rooftop AC;Accumulated cooling MT evap;Accumulated cooling LT evap;Accumulated heating rooftop;Accumulated cooling rooftop;COPtot;ntot
0;2019-06-20 17:00:45.119;689;691;231;231;205;41;55;28;-1;40;767;250;-4;24;232;179;252;647;230;54;55;-108;671;361;367;133;366;300;671;11.0;-1.0;1225.0;348.0;0.0;100;0;85;1;0;0;1;0;0;0;1;1;1;0;0;25282.541015625;12090.65625;6963.70947265625;3877.4794921875;580.0;255825;675.0;0.0;Calculated values ==>;1561042845.119;342.06000000000006;342.26;296.26000000000005;296.26000000000005;293.66;277.26000000000005;274.4858918419099;278.66;275.96000000000004;273.06;277.16;349.86;298.16;272.76000000000005;275.56;296.36;291.06;298.36;337.86;278.56;278.66;340.66;331.16;262.36;241.05796691057077;267.5978703862781;274.4858918419099;296.16;6709999.999999999;3610000.0;3670000.0000000005;1330000.0;3660000.0;3000000.0;6709999.999999999;0.0018333333333333333;0.0;0.20416666666666666;0.058;0.0;0.0018333333333333333;0.0;12090.65625;6963.70947265625;3877.4794921875;25282.541015625;488453.60529141815;488741.25088070374;262731.2150152633;262731.2150152633;252801.86096393043;430081.6785162784;436243.03581333655;442085.5645219337;473598.1776897576;530645.188653613;474417.14028957894;441642.3686528343;445698.7778426805;462996.0789934827;456554.21884749416;272589.47164280084;482304.52209320496;436066.96392498456;436243.03581333655;283101.5729112263;243342.44575359824;459002.7513434115;200073.9910983826;200073.9910983826;273.2328445128382;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;49410.69624064168;15017.868094211677;-0.0;432.97658197741555;0.0;0.0;0.0;0.0;2.828448400429896;0.2986867187346755
1;2019-06-20 17:01:45.119;692;690;231;230;205;41;56;28;5;40;768;250;2;29;233;178;252;648;232;55;56;-108;667;362;367;132;367;301;667;-1.0;-1.0;1146.0;257.0;0.0;100;0;82;1;0;0;1;0;0;0;1;1;1;0;0;25024.451171875;11827.6845703125;6854.41015625;3900.876953125;644.0;255826;575.0;19.0;Calculated values ==>;1561042905.119;342.36;342.16;296.26000000000005;296.16;293.66;277.26000000000005;274.5913991737795;278.76000000000005;275.96000000000004;273.66;277.16;349.96000000000004;298.16;273.36;276.06;296.46000000000004;290.96000000000004;298.36;337.96000000000004;278.66;278.76000000000005;330.66;337.56000000000006;262.36;240.83765695389522;267.7187500070086;274.5913991737795;296.36;6670000.0;3620000.0000000005;3670000.0000000005;1320000.0;3670000.0000000005;3010000.0;6670000.0;0.0;0.0;0.191;0.04283333333333333;0.0;0.0;0.047785994027373005;11827.6845703125;6854.41015625;3900.876953125;25024.451171875;489302.857130803;489016.6767701056;262991.1823541168;262569.2149958776;252971.3212167305;430014.67791919125;436418.6454459975;442759.63332633115;473727.59171134117;530673.689201687;474287.555014974;442319.071281641;446212.05846747686;462979.80544440064;456249.6922589759;273029.43058127904;482901.0062881089;436243.03581333655;436418.6454459975;241250.99604349316;270122.7006405761;459158.0845856794;200872.56308426685;200073.9910983826;273.55165292162434;419.2249348958333;199.3195068359375;64.81963704427083;115.15099690755208;0;0;0;0;0;0;0;0;0;0;220200000.00000003;79500000.0;180300000.0;46200.43041623428;11063.229837643836;-0.0;0.0;796.7593888072997;217.3424827654626;0.0;3.6081381831451296;2.5357008398228005;0.2620221714176974
2;2019-06-20 17:02:45.109;692;687;231;231;205;42;58;28;9;40;769;250;7;36;233;178;252;645;243;57;58;-109;668;361;366;131;366;300;668;-1.0;-1.0;1253.0;235.0;0.0;100;0;78;1;0;0;1;0;0;0;1;1;1;0;0;24698.203125;11529.505859375;6892.3349609375;3877.46118164062;652.0;255827;562.0;-1.0;Calculated values ==>;1561042965.109;342.36;341.86;296.26000000000005;296.26000000000005;293.66;277.36;274.4858918419099;278.96000000000004;275.96000000000004;274.06;277.16;350.06000000000006;298.16;273.86;276.76000000000005;296.46000000000004;290.96000000000004;298.36;337.66;278.86;278.96000000000004;329.36;338.36;262.26000000000005;240.61611355647437;267.5978703862781;274.4858918419099;297.46000000000004;6680000.0;3610000.0;3660000.0;1310000.0;3660000.0;3000000.0;6680000.0;0.0;0.0;0.20883333333333332;0.03916666666666667;0.0;0.0;-0.0025139400160027075;11529.505859375;6892.3349609375;3877.46118164062;24698.203125;489198.49933559407;488481.4583805018;262925.56969402375;262925.56969402375;252928.69440558428;430081.6785162784;437000.986148985;443547.43308681657;473856.7996405058;530853.482902621;474417.14028957894;443256.9062126748;447387.1986165429;463129.6232463674;456414.7828251579;272917.4840870531;482343.60545250785;436827.1314667219;437000.986148985;235813.6939595721;273471.60554148915;459213.0287323653;200967.8697239885;200073.9910983826;273.58470377351915;833.5113281935727;393.9303199053409;129.62831826354437;229.6881135341045;0;0;0;0;0;0;0;0;0;0;440063350.03495216;158386850.01254082;360569950.0286579;50658.69881560392;10114.602061161426;-0.0;0.0;1603.784272632535;393.7950016281425;0.0;3.6081381831451296;2.7253454332984246;0.2858210064167894
3;2019-06-20 17:03:45.110;693;693;233;232;205;41;59;28;11;40;771;250;9;28;233;177;252;647;260;58;59;-109;667;360;365;132;365;301;667;-2.0;-1.0;1732.0;384.0;0.0;100;0;76;1;0;0;1;0;0;0;1;1;1;0;0;24417.818359375;11221.4501953125;6866.4833984375;3893.53173828125;652.0;255828;564.0;0.0;Calculated values ==>;1561043025.11;342.46000000000004;342.46000000000004;296.46000000000004;296.36;293.66;277.26000000000005;274.38016830617;279.06;275.96000000000004;274.26000000000005;277.16;350.26;298.16;274.06;275.96000000000004;296.46000000000004;290.86;298.36;337.86;278.96000000000004;279.06;329.56;338.36;262.26000000000005;240.83765695389522;267.7187500070086;274.38016830617;299.16;6670000.0;3600000.0;3650000.0;1320000.0;3650000.0;3010000.0;6670000.0;0.0;0.0;0.2886666666666667;0.064;0.0;0.0;0.0;11221.4501953125;6866.4833984375;3893.53173828125;24417.818359375;489445.78659967554;489445.78659967554;263846.6504262651;263416.9487571939;252971.3212167305;430148.3826014536;437404.9428379243;443634.4727813241;473727.59171134117;530986.2749545022;474287.555014974;443343.77367153234;446070.60221923905;463279.1356354856;456440.2180442986;273029.43058127904;482752.75862244586;437232.3528014014;437404.9428379243;236650.15891445865;273471.60554148915;459057.8361233049;200357.27380862998;200073.9910983826;273.34025067634667;1242.818328405252;583.5247799870538;194.38767182257163;344.3468440040532;0;0;0;0;0;0;0;0;0;0;659367004.7700405;237288164.9172306;540872954.8108578;70226.01810345105;16556.835988139195;-0.0;0.0;2611.1737019517827;616.0606894702204;0.0;3.6081381831451296;3.9480013175068374;0.44820060530766037
4;2019-06-20 17:04:45.120;694;695;234;234;208;41;60;28;11;39;772;251;10;46;234;177;252;647;240;59;60;-110;663;360;365;133;365;302;664;-1.0;0.0;1623.0;378.0;0.0;100;0;76;1;0;0;1;0;0;0;1;1;1;0;0;24556.185546875;11391.1171875;6857.47802734375;3906.79028320312;651.0;255829;569.0;0.0;Calculated values ==>;1561043085.12;342.56000000000006;342.66;296.56;296.56;293.96000000000004;277.26000000000005;274.38016830617;279.16;275.96000000000004;274.26000000000005;277.06;350.36;298.26000000000005;274.16;277.76000000000005;296.56;290.86;298.36;337.86;279.06;279.16;330.06;338.26;262.16;241.05796691057077;267.8393353686513;274.38016830617;297.16;6630000.0;3600000.0;3650000.0;1330000.0;3650000.0;3020000.0;6640000.000000001;0.0;0.0;0.2705;0.063;0.0;0.0;0.0;11391.1171875;6857.47802734375;3906.79028320312;24556.185546875;490003.95851012855;490042.5078852129;264492.66677688225;264492.66677688225;254179.5899543332;430148.3826014536;437577.1061865502;443431.1120271193;473501.00995365425;531015.0068793237;474275.36331429495;443285.3374463631;448401.4392639541;463412.2849837685;456440.2180442986;273491.3061305736;483087.81695222104;437404.9428379243;437577.1061865502;238741.38928724395;273052.9745269728;458801.80101079843;200242.69796876927;200073.9910983826;273.29510267749004;1651.0030470090035;771.9942478241271;259.4011891051949;458.7322502582547;0;0;0;0;0;0;0;0;0;0;878403504.7352314;316801414.9045944;721803104.7821045;65782.4660027837;16289.223491647837;-0.0;0.0;3744.7666366626254;889.8234712853281;0.0;3.6081381831451296;3.704367477680162;0.3956802330350971
5;2019-06-20 17:05:45.121;693;696;234;233;208;40;61;28;12;39;773;252;10;34;234;178;252;645;237;59;61;-110;662;359;364;133;364;303;662;-1.0;-1.0;1884.0;459.0;0.0;100;0;76;1;0;0;1;0;0;0;1;1;1;0;0;24681.287109375;11219.96875;6831.181640625;3914.6357421875;648.0;255830;581.0;0.0;Calculated values ==>;1561043145.121;342.46000000000004;342.76;296.56;296.46000000000004;293.96000000000004;277.16;274.27422755570615;279.26000000000005;275.96000000000004;274.36;277.06;350.46000000000004;298.36;274.16;276.56;296.56;290.96000000000004;298.36;337.66;279.06;279.26000000000005;331.26000000000005;337.96000000000004;262.16;241.05796691057077;267.9596281332873;274.27422755570615;296.86;6620000.0;3590000.0;3640000.0;1330000.0;3640000.0;3030000.0;6620000.0;0.0;0.0;0.314;0.0765;0.0;0.0;0.0;11219.96875;6831.181640625;3914.6357421875;24681.287109375;489965.5241196604;490391.3936693451;264636.674116081;264195.36788907246;254270.3555748731;430214.79039162316;437976.6894256693;443373.06176112994;473501.00995365425;531043.8128972996;474263.2766173723;443080.6557621375;446531.9673155462;463561.2209818517;456743.7428912312;273610.51575470966;483015.57972712023;437634.38984935347;437976.6894256693;243760.74795305103;271797.11229066993;458801.80101079843;199878.46660342772;200073.9910983826;273.1471105866272;2061.3221588170713;960.4231049196835;324.580825806215;572.8063156762103;0;0;0;0;0;0;0;0;0;0;1097107150.3400803;396602745.12529373;903306130.284071;76457.3028795185;19807.63508216386;-0.0;0.0;4930.117802816818;1190.6356403516008;0.0;3.6081381831451296;4.382494547640239;0.4662569765522662
6;2019-06-20 17:06:45.111;692;695;232;231;206;40;62;28;8;38;775;253;8;53;234;176;252;643;235;60;62;-109;659;360;365;133;365;304;659;-1.0;-1.0;1794.0;403.0;0.0;100;0;78;1;0;0;1;0;0;0;1;1;1;0;0;24659.990234375;11348.390625;6718.75390625;3927.64501953125;644.0;255831;603.0;0.0;Calculated values ==>;1561043205.111;342.36;342.66;296.36;296.26000000000005;293.76000000000005;277.16;274.38016830617;279.36;275.96000000000004;273.96000000000004;276.96000000000004;350.66;298.46000000000004;273.96000000000004;278.46000000000004;296.56;290.76000000000005;298.36;337.46000000000004;279.16;279.36;333.46000000000004;337.56000000000006;262.26000000000005;241.05796691057077;268.0796299477929;274.38016830617;296.66;6590000.000000001;3600000.0;3650000.0;1330000.0;3650000.0;3040000.0;6590000.000000001;0.0;0.0;0.29900000000000004;0.06716666666666667;0.0;0.0;0.0;11348.390625;6718.75390625;3927.64501953125;24659.990234375;490134.6387194594;490559.45907182375;263969.0031235362;263531.88017786335;253679.8439364126;430148.3826014536;437920.1706087636;442580.7327243594;473403.82665571757;531177.0275974341;474251.29512525245;442580.7327243594;448998.8971924048;463412.2849837685;456300.8141213988;273977.9062989911;483055.61238143564;437577.1061865502;437920.1706087636;252964.46457616048;270122.7006405761;458902.2915404524;200359.41517511432;200073.9910983826;273.34109416785077;2472.4309405284766;1148.4614214643334;389.92227344097853;685.7036258965232;0;0;0;0;0;0;0;0;0;0;1315770700.3748417;476389445.1379776;1085375780.313015;72424.17394722428;17365.463195871875;-0.0;0.0;6170.589996741282;1500.3598300813055;0.0;3.6081381831451296;4.082313992402208;0.4264772408281395
7;2019-06-20 17:07:45.112;691;694;230;230;205;40;63;27;-15;38;777;251;-17;34;234;176;252;642;230;61;63;-109;660;360;365;133;364;304;661;0.0;-1.0;1891.0;294.0;0.0;100;0;79;1;0;0;1;0;0;0;1;1;1;0;0;24681.255859375;11394.4111328125;6782.46826171875;3919.125;635.0;255832;622.0;0.0;Calculated values ==>;1561043265.112;342.26;342.56000000000006;296.16;296.16;293.66;277.16;274.38016830617;279.46000000000004;275.86;271.66;276.96000000000004;350.86;298.26000000000005;271.46000000000004;276.56;296.56;290.76000000000005;298.36;337.36;279.26000000000005;279.46000000000004;335.36;336.66;262.26000000000005;241.05796691057077;268.0796299477929;274.38016830617;296.16;6600000.0;3600000.0;3650000.0;1330000.0;3640000.0;3040000.0;6609999.999999999;0.0;0.0;0.31516666666666665;0.049;0.0;0.0;0.0;11394.4111328125;6782.46826171875;3919.125;24681.255859375;489889.0005944965;490211.12503664795;262963.9388842119;262963.9388842119;253230.85441913392;430148.3826014536;438091.08039259684;439121.23982878303;473403.82665571757;531385.6704624288;474015.5422595829;438813.5335829557;446338.7475733018;463561.2209818517;456300.8141213988;273853.7621974019;482684.1568286469;437748.84731302515;438091.08039259684;260914.8530628454;266355.56789118156;458902.2915404524;201068.22377407557;200073.9910983826;273.6196830520412;2883.6148437638763;1337.9879279396287;455.3131133539183;798.2156856634308;0;0;0;0;0;0;0;0;0;0;1534774350.1102924;556190775.0415802;1267778820.092678;75026.37555990863;12633.869320552465;-0.0;0.0;7399.365053726057;1750.3584339901454;0.0;3.6081381831451296;3.9672441820366835;0.3885030727478844
8;2019-06-20 17:08:45.122;690;693;229;229;203;40;64;27;-22;38;778;250;-23;40;235;175;252;643;237;61;65;-108;662;360;365;132;365;304;662;268.0;-1.0;1840.0;294.0;0.0;100;0;80;1;0;0;1;0;0;0;1;1;1;0;0;24700.880859375;11499.4091796875;6832.83447265625;3925.70141601562;626.0;255833;634.0;0.0;Calculated values ==>;1561043325.122;342.16;342.46000000000004;296.06;296.06;293.46000000000004;277.16;274.38016830617;279.56;275.86;270.96000000000004;276.96000000000004;350.96000000000004;298.16;270.86;277.16;296.66;290.66;298.36;337.46000000000004;279.26000000000005;279.66;336.56;335.76000000000005;262.36;240.83765695389522;268.0796299477929;274.38016830617;296.86;6620000.0;3600000.0;3650000.0;1320000.0;3650000.0;3040000.0;6620000.0;0.04466666666666667;0.0;0.30666666666666664;0.049;0.0;0.04466666666666667;0.0;11499.4091796875;6832.83447265625;3925.70141601562;24700.880859375;489538.7190967736;489965.5241196604;262472.34966372733;262472.34966372733;252474.80996237296;430148.3826014536;438261.5809124647;438039.0146135774;473533.532933398;531489.9788147744;473897.5756546557;437883.18805776763;447186.0512154405;463545.3156519603;456161.252676308;273610.51575470966;482719.98436266714;437748.84731302515;438431.6763470592;265937.0223246507;262588.8327430989;459158.0845856794;201259.93392711124;201259.93392711124;273.6948211763125;3295.2012359890487;1528.801560819461;520.6975624025688;911.6954519078749;0;0;0;0;0;0;0;0;0;0;1753810850.0754833;635704025.028944;1450209220.0636864;72612.25141051628;12637.00938226984;-0.0;10593.671161424341;8629.89199859928;1960.9841882561682;0.0;91.90344461315146;4.306009906119111;0.3828643532336781
9;2019-06-20 17:09:45.133;687;691;229;229;204;41;66;28;-22;38;780;249;-24;25;235;175;252;644;242;63;66;-108;662;361;366;133;366;305;662;138.0;-1.0;1872.0;338.0;0.0;100;0;81;1;0;0;1;0;0;0;1;1;1;1;0;24926.73828125;11640.048828125;6795.65869140625;3938.3984375;620.0;255834;526.0;840.0;Calculated values ==>;1561043385.133;341.86;342.26;296.06;296.06;293.56;277.26000000000005;274.4858918419099;279.76000000000005;275.96000000000004;270.96000000000004;276.96000000000004;351.16;298.06;270.76000000000005;275.66;296.66;290.66;298.36;337.56000000000006;279.46000000000004;279.76000000000005;325.76000000000005;335.16;262.36;241.05796691057077;268.19934244402924;274.4858918419099;297.36;6620000.0;3610000.0;3660000.0;1330000.0;3660000.0;3050000.0;6620000.0;0.023;0.0;0.312;0.05633333333333333;0.0;0.023;2.115399794990573;11640.048828125;6795.65869140625;3938.3984375;24926.73828125;489110.9665016003;489681.09212143836;262472.34966372733;262472.34966372733;252830.0240027392;430081.6785162784;438376.39602113876;437812.597326149;473403.82665571757;531623.4926563593;473648.9578539646;437499.1961693786;444856.06423827005;463396.35081280995;455995.526710799;273610.51575470966;482867.84679305047;437863.76420723787;438376.39602113876;220759.83610629753;260077.89159075968;459002.7513434115;201207.49412688383;201207.49412688383;273.6786965135586;3708.840548235964;1721.6657292373818;586.2437423559498;1025.2870494288195;0;0;0;0;0;0;0;0;0;0;1973151054.7757149;715218599.9202728;1632942714.8139477;73820.79219817073;14522.46615653106;-0.0;5454.884743567864;9850.391077486927;2187.3546444133167;0.0;225.6659289323527;4.192263292147001;0.41039992815950266
