Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:14:00  15/08/2019,5.33,73.83,82.90,1,83.66,33,31.56,-10.17,-26.33,3,68,66,29.39,3.00,71.50,-29.00,32.56,46,10.78,13.50,30.72,33,30.50,9,0.00,0,61.22,63.00,60.50,1,65.00,31.50,38.70,32.44,4,0,0,3837,3836,14.93,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.68,2.50,2.39,65.00,0,35,-8.00,50,17.06,7.11,94.11,84.78,-10.00,1,35.52,24.86,-1.89,0,2,1,2,1,0,31.78,10.00,35.52,0,34.00,2.22,0,10.00,34.78,0,32.39,0,35.52,2.22,20.00,0,1,0.00,19.72,18.50,33.50,21.50,36.40,2.89,7.30,14.72,12,15.28,8.78,4.10,12,15.11,3.22,44.80,18.78,36.80,1,0.00,20.00,2,4.50,30.20,16.60,-5.10,8.00,4.40,18.30,233.30,234.50,234.60,34.30,21.20,19.20
 16:16:00  15/08/2019,5.33,73.39,82.76,1,82.44,29,31.56,-6.11,-27.67,2,81,84,30.33,2.56,66.06,-29.00,32.56,43,10.78,12.72,30.72,29,30.50,9,0.00,0,61.22,62.67,59.72,1,65.00,31.50,27.10,32.44,4,0,0,3837,3836,14.03,98852,0,50011,26570,0,0,-8.00,43,3836,1,0,0,0,0,35.10,1.89,2.39,65.00,0,42,-8.00,29,15.83,9.78,94.11,83.02,-6.28,1,35.52,28.03,-1.89,0,2,1,2,1,0,32.28,10.00,35.03,0,34.00,1.72,0,10.00,34.78,0,32.89,0,34.93,1.61,20.00,0,1,0.00,17.00,18.89,39.30,21.50,36.40,2.50,6.00,12.00,12,15.61,8.78,4.10,12,14.39,2.78,49.20,18.50,36.80,1,0.00,20.00,2,4.50,30.20,16.60,-5.10,8.00,4.40,18.30,233.30,234.50,234.60,34.30,21.20,19.20
 16:18:00  15/08/2019,5.33,72.89,82.88,1,83.24,88,31.00,-8.56,-29.56,2,78,84,32.11,2.56,67.89,-29.00,32.56,43,10.78,12.72,30.72,88,30.50,9,0.00,1,61.22,62.33,58.50,1,65.00,31.50,30.00,32.44,4,0,0,3837,3836,13.05,98852,0,50011,26570,0,0,-8.00,43,3836,1,0,0,0,0,35.30,1.89,2.39,65.00,0,42,-8.00,50,17.67,9.11,94.44,84.50,-8.44,1,35.52,26.08,-1.89,0,2,1,2,1,0,32.28,10.00,35.22,0,34.00,1.72,0,10.00,34.78,0,32.89,0,35.12,1.61,20.00,0,1,0.00,17.00,18.22,39.30,21.00,36.40,2.50,6.00,12.00,12,15.61,9.50,4.70,12,14.89,2.78,48.10,18.50,36.80,1,0.00,20.00,2,4.50,30.20,16.60,-5.10,8.00,4.40,18.30,233.30,234.50,234.60,34.30,21.20,19.20
 16:20:00  15/08/2019,5.33,92.61,82.65,1,83.12,47,29.11,-9.78,-30.28,2,66,66,33.06,2.56,69.67,-29.00,32.56,46,9.94,12.72,30.72,47,30.00,9,0.00,1,59.67,62.00,90.72,1,65.00,29.11,35.80,32.44,4,0,0,3837,3836,13.05,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.82,2.72,2.39,65.00,0,33,-8.00,50,18.44,8.61,95.78,84.12,-9.67,1,35.52,25.14,-1.89,0,2,1,2,1,0,31.72,10.00,35.71,0,34.00,2.39,0,10.00,34.50,0,32.22,0,35.62,2.28,20.00,0,1,0.00,17.50,17.50,37.10,21.00,37.00,3.22,6.00,12.50,12,14.11,10.28,4.70,12,15.78,3.28,41.80,17.50,36.80,1,0.00,20.00,2,4.50,30.20,16.60,-5.10,8.00,4.40,18.30,233.30,234.50,234.60,34.30,21.20,19.20
 16:22:00  15/08/2019,5.33,90.11,82.36,1,82.14,38,30.17,-6.28,-27.89,2,70,66,30.78,2.89,71.00,-29.00,32.56,44,10.50,12.44,30.72,38,30.00,9,0.00,1,58.89,61.72,91.67,1,65.00,30.11,29.70,32.44,4,0,0,3837,3836,14.01,98852,0,50011,26570,0,0,-8.00,44,3836,1,0,0,0,0,35.22,2.06,2.39,65.00,0,41,-8.00,29,15.33,9.06,94.06,82.67,-6.44,1,35.52,27.86,-1.89,0,2,1,2,1,0,32.00,10.00,35.12,0,34.00,1.78,0,10.00,34.50,0,32.72,0,35.03,1.72,20.00,0,1,0.00,17.50,17.89,39.60,20.72,36.50,2.72,6.00,12.50,12,16.00,10.28,4.70,12,15.78,2.72,45.00,18.78,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.10,8.00,4.40,16.80,233.30,234.50,234.60,35.60,21.20,21.10
 16:24:00  15/08/2019,5.33,90.11,82.36,1,82.14,38,30.17,-6.28,-27.89,2,70,66,30.78,2.89,71.00,-29.00,32.56,44,10.50,12.44,30.72,38,30.00,9,0.00,1,58.89,61.72,91.67,1,65.00,30.11,29.70,32.44,4,0,0,3837,3836,14.01,98852,0,50011,26570,0,0,-8.00,44,3836,1,0,0,0,0,35.22,2.06,2.39,65.00,0,41,-8.00,29,15.33,9.06,94.06,82.67,-6.44,1,35.52,27.86,-1.89,0,2,1,2,1,0,32.00,10.00,35.12,0,34.00,1.78,0,10.00,34.50,0,32.72,0,35.03,1.72,20.00,0,1,0.00,17.50,17.89,39.60,20.72,36.50,2.72,6.00,12.50,12,16.00,10.28,4.70,12,15.78,2.72,45.00,18.78,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.10,8.00,4.40,16.80,233.30,234.50,234.60,35.60,21.20,21.10
 16:26:00  15/08/2019,5.33,92.50,82.36,1,83.07,36,31.06,-8.72,-27.06,3,81,66,29.83,2.89,71.50,-29.00,32.56,46,10.11,13.06,30.72,36,30.39,9,0.00,1,53.33,61.72,92.44,1,65.00,31.00,37.60,32.44,4,0,0,3837,3836,14.38,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.95,2.78,2.39,65.00,0,41,-8.00,50,16.00,7.06,93.56,84.12,-8.61,1,35.52,25.93,-1.89,0,2,1,2,1,0,31.28,10.00,35.82,0,34.00,2.50,0,10.00,34.50,0,32.00,0,35.71,2.39,20.00,0,1,0.00,17.78,17.50,37.10,20.72,37.10,3.28,6.00,12.78,12,15.28,9.78,4.70,12,14.89,3.39,43.00,18.78,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.10,8.00,4.40,16.80,233.30,234.50,234.60,35.60,21.20,21.10
 16:28:00  15/08/2019,5.33,94.72,82.54,1,81.01,36,31.56,-8.28,-30.11,2,74,84,32.89,2.89,67.39,-29.00,32.56,45,11.89,14.33,30.72,36,30.39,9,0.00,1,50.44,61.33,93.94,1,65.00,31.61,28.80,32.44,4,0,0,3837,3836,12.87,98852,0,50011,26570,0,0,-8.00,45,3836,1,0,0,0,0,35.49,2.44,2.39,65.00,0,34,-8.00,29,14.94,6.44,95.28,81.61,-8.61,1,35.52,26.29,-1.89,0,2,1,2,1,0,31.78,10.00,35.42,0,34.00,2.11,0,10.00,34.50,0,32.50,0,35.32,2.00,20.00,0,1,0.00,17.78,18.28,39.10,21.22,36.60,2.78,6.00,12.78,12,15.72,8.50,4.20,12,13.50,3.11,49.10,18.78,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.10,8.00,4.40,16.80,233.30,234.50,234.60,35.60,21.20,21.10
 16:30:00  15/08/2019,5.33,92.61,82.57,1,82.67,30,31.56,-6.00,-29.17,2,66,66,32.00,2.89,71.06,-29.00,32.56,45,9.94,12.28,30.72,30,30.39,9,0.00,1,50.44,61.33,93.28,1,65.00,31.61,29.60,32.44,4,0,0,3837,3836,13.30,98852,0,50011,26570,0,0,-8.00,45,3836,1,0,0,0,0,35.53,2.44,2.39,65.00,0,45,-8.00,29,15.56,9.44,92.94,83.34,-6.11,1,35.52,28.09,-1.89,0,2,1,2,1,0,31.78,10.00,35.42,0,34.00,2.11,0,10.00,34.50,0,32.50,0,35.32,2.00,20.00,0,1,0.00,17.78,17.89,39.10,20.89,36.60,2.78,6.50,12.78,12,13.28,8.50,4.20,12,14.28,3.11,47.20,16.61,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.10,8.00,4.40,16.80,233.30,234.50,234.60,35.60,21.20,21.10
 16:32:00  15/08/2019,5.33,94.83,82.57,1,80.48,100,32.06,-8.72,-27.94,2,71,66,30.89,2.89,72.17,-29.00,32.56,46,10.94,13.78,30.72,100,30.39,9,0.00,1,53.78,61.06,92.22,1,65.00,32.06,26.20,32.44,4,0,0,3837,3836,13.98,98852,0,50011,26570,0,0,-8.00,46,3836,1,0,0,0,0,35.63,2.44,2.39,65.00,0,41,-8.00,50,16.78,8.00,94.39,81.55,-8.72,1,35.52,25.94,-1.89,0,2,1,2,1,0,31.78,10.00,35.42,0,34.00,2.11,0,10.00,34.50,0,32.50,0,35.32,2.00,20.00,0,1,0.00,18.11,18.22,38.50,20.89,36.60,2.78,6.50,13.11,12,15.22,9.28,4.20,12,14.72,3.11,48.00,18.28,36.80,1,0.00,20.00,2,4.50,30.20,17.40,-5.30,8.00,4.40,16.80,233.30,234.50,234.60,36.60,20.20,19.40
