CNT-Porto Mós CNT-Porto Mós 07181621.csv,,CNT-Porto Mós,1562857713,120
Name,AK-PC 782A:   Trec reference,AK-PC 782A:   Stw2,AK-PC 782A:   Pgc reference,AK-PC 782A:   HP control status,AK-PC 782A:   Pgc,AK-PC 782A:   Cond. requested cap.,AK-PC 782A:   Sgc ctrl.,AK-PC 782A:   Tc-LT,AK-PC 782A:   Suction temp. To-LT,AK-PC 782A:   Actual zone LT,AK-PC 782A:   Requested cap. LT,AK-PC 782A:   Running capacity LT,AK-PC 782A:   Superheat LT,AK-PC 782A:   Ss-LT,AK-PC 782A:   Sd-LT,AK-PC 782A:   Suction reference LT,AK-PC 782A:   Prec reference,AK-PC 782A:   Running capacity IT,AK-PC 782A:   Superheat IT,AK-PC 782A:   Ss-IT,AK-PC 782A:   Sd-IT,AK-PC 782A:   Cond. capacity,AK-PC 782A:   Sc3,AK-PC 782A:   Rec. control status,AK-PC 782A:   Vrec OD,AK-PC 782A:   V3tw,AK-PC 782A:   Stw3,AK-PC 782A:   Stw8,AK-PC 782A:   Stw4,AK-PC 782A:   Tw enable,AK-PC 782A:   Tw reference,AK-PC 782A:   Cond. temp.,AK-PC 782A:   Vhp OD,AK-PC 782A:   Cond. reference,AK-PC 782A:   Ejector status,AK-PC 782A:   Requested capacity,AK-PC 782A:   Vapor ejector capaci,AK-PC 782A:   Ejector 4 cycle,AK-PC 782A:   Ejector 6 cycle,AK-PC 782A:   Po-LT,AK-PC 782A:   Ejector 1 cycle,AK-PC 782A:   V3gc valve,AK-PC 782A:   Ejector 2 cycle,AK-PC 782A:   Ejector 3 cycle,AK-PC 782A:   Ejector OD,AK-PC 782A:   Suction accumulator,AK-PC 782A:   Setpoint MT,AK-PC 782A:   Requested capacit IT,AK-PC 782A:   Ejector 5 cycle,AK-PC 782A:   Ejector stop via DI,AK-PC 782A:   DI 6 input,AK-PC 782A:   Th2 Actual state,AK-PC 782A:   DI 7 input,AK-PC 782A:   DI 2 input,AK-PC 782A:   Prec,AK-PC 782A:   Trec,AK-PC 782A:   Suction reference IT,AK-PC 782A:   Tw setpoint,AK-PC 782A:   Liq. inj. status MT,AK-PC 782A:   Requested cap. MT,AK-PC 782A:   Suction reference MT,AK-PC 782A:   Running capacity MT,AK-PC 782A:   Superheat MT,AK-PC 782A:   Ss-MT,AK-PC 782A:   Sd-MT,AK-PC 782A:   Pc,AK-PC 782A:   Suction temp. To-MT,AK-PC 782A:   Tw control mode,AK-PC 782A:   Prec setpoint,AK-PC 782A:   Po-MT,AK-PC 782A:   Pump down limit IT,AK-PC 781A:   Comp 9 Cycles/24h,AK-PC 781A:   Comp 7 Cycles/24h,AK-PC 781A:   Comp 9 Run % 24h,AK-PC 781A:   Comp10 Cycles total,AK-PC 781A:   Comp 4 Run % 24h,AK-PC 781A:   Comp10 Cycles/24h,AK-PC 781A:   Comp 6 Run % 24h,AK-PC 781A:   Comp 8 Run % 24h,AK-PC 781A:   Comp 6 Cycles/24h,AK-PC 781A:   Comp 5 Cycles/24h,AK-PC 781A:   Comp 8 Cycles/24h,AK-PC 781A:   Comp 8 Cycles total,AK-PC 781A:   Comp 5 Runtime total,AK-PC 781A:   Comp 3 Cycles/24h,AK-PC 781A:   Comp 3 Run % 24h,AK-PC 781A:   Comp 2 Runtime total,AK-PC 781A:   Comp 2 Cycles total,AK-PC 781A:   Comp 2 Cycles/24h,AK-PC 781A:   Comp 2 Run % 24h,AK-PC 781A:   Comp Ctrl Ref,AK-PC 781A:   Suction Setpoint,AK-PC 781A:   Comp Running Cap,AK-PC 781A:   Suction temp. To,AK-PC 781A:   Po Pressure,AK-PC 781A:   Comp 4 Cycles/24h,AK-PC 781A:   Comp 4 Cycles total,AK-PC 781A:   Comp 4 Runtime total,AK-PC 781A:   Comp 5 Run % 24h,AK-PC 781A:   Comp 3 Runtime total,AK-PC 781A:   Comp 5 Cycles total,AK-PC 781A:   Comp 1 Cycles total,AK-PC 781A:   Comp 8 Runtime total,AK-PC 781A:   Comp 1 Runtime total,AK-PC 781A:   Comp Request Cap,AK-PC 781A:   Comp 6 Cycles total,AK-PC 781A:   Comp 6 Runtime total,AK-PC 781A:   Comp 7 Run % 24h,AK-PC 781A:   Comp 1 Cycles/24h,AK-PC 781A:   Comp 7 Cycles total,AK-PC 781A:   Comp 9 Runtime total,AK-PC 781A:   Comp10 Run % 24h,AK-PC 781A:   Comp 9 Cycles total,AK-PC 781A:   Comp 1 Run % 24h,AK-PC 781A:   Comp 7 Runtime total,AK-PC 781A:   Comp10 Runtime total,AK-PC 781A:   Comp 3 Cycles total,CTR1 Calor UTA:   --- EKC State,CTR1 Calor UTA:   u24 Valve OD %,CTR1 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   u24 Valve OD %,CTR2 Calor UTA:   u10 DI1 Status,CTR2 Calor UTA:   --- EKC State,Controlo Inj. UTA1:   Ext Ref Offset Max,Controlo Inj. UTA1:   Operation Mode,Controlo Inj. UTA1:   DI Main Switch,Controlo Inj. UTA1:   Ext Ref Offset Min,Controlo Inj. UTA1:   Actual SH Reference,Controlo Inj. UTA1:   Actual Superheat,Controlo Inj. UTA1:   Actual OD,Controlo Inj. UTA1:   S2 Suction Pipe,Controlo Inj. UTA1:   Pe Evaporator,Controlo Inj. UTA1:   Te Saturated Evapora,Controlo Inj. UTA1:   External Reference S,Controlo Inj. UTA1:   Act Ext Ref SH Of,Controlo Inj. UTA1:   Operation Status,Controlo Inj. UTA2:   Actual Superheat,Controlo Inj. UTA2:   Act Ext Ref SH Of,Controlo Inj. UTA2:   External Reference S,Controlo Inj. UTA2:   Operation Status,Controlo Inj. UTA2:   Actual SH Reference,Controlo Inj. UTA2:   Te Saturated Evapora,Controlo Inj. UTA2:   Actual OD,Controlo Inj. UTA2:   S2 Suction Pipe,Controlo Inj. UTA2:   Pe Evaporator,Controlo Inj. UTA2:   DI Main Switch,Controlo Inj. UTA2:   Ext Ref Offset Min,Controlo Inj. UTA2:   Ext Ref Offset Max,Controlo Inj. UTA2:   Controller State,Contador Energia:   Phase C kW,Contador Energia:   Peak DMD kW,Contador Energia:   Total kW,Contador Energia:   Total KVAR,Contador Energia:   Phase A kW,Contador Energia:   Phase B kW,Contador Energia:   Demand kW,Contador Energia:   Phase A Volts,Contador Energia:   Phase C Volts,Contador Energia:   Phase B Volts,Contador Energia:   Phase A Amps,Contador Energia:   Phase B Amps,Contador Energia:   Phase C Amps
Units,degc,degc,Bar,,Bar,%,degc,degc,degc,,%,%,degc,degc,degc,degc,Bar,%,degc,degc,degc,%,degc,,%,,degc,degc,degc,,degc,degc,%,degc,,%,%,,,Bar,,,,,%,,degc,%,,,,,,,Bar,degc,degc,degc,,%,degc,%,degc,degc,degc,Bar,degc,,Bar,Bar,degc,,,%,,%,,%,%,,,,,,,%,,,,%,degc,degc,%,degc,Bar,,,,%,,,,,,%,,,%,,,,%,,%,,,,,%,,%,,,degc,,,degc,degc,degc,%,degc,,degc,,degc,,degc,degc,,,degc,degc,%,degc,,,degc,degc,,,,,,,,,,,,,,
Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 17:15:00  11/07/2019,5.33,97.11,94.71,7,95.75,100,34.17,-4.06,-29.06,2,60,60,32.00,3.06,80.89,-29.00,33.71,69,9.89,11.83,37.17,100,35.72,9,0.00,0,78.72,62.39,91.22,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,13.29,84110,0,42561,22789,10,0,-4.00,65,3168,1,1,1,0,0,34.95,1.78,2.39,65.00,0,26,-4.00,26,9.39,5.11,105.06,96.97,-4.11,1,35.52,29.56,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,21.22,20.22,39.80,22.61,36.60,2.50,7.10,14.78,12,15.89,7.39,3.60,12,16.00,3.00,49.00,19.22,36.90,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,19.10,228.90,230.50,230.10,35.80,22.70,20.90
 17:17:00  11/07/2019,5.33,97.11,94.59,7,95.65,100,34.17,-4.06,-29.39,2,59,59,32.00,2.67,80.89,-29.00,33.71,69,10.22,11.83,34.72,100,35.44,9,0.00,0,78.72,62.39,90.78,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,13.26,84110,0,42561,22789,10,0,-4.00,62,3168,1,1,1,0,0,34.73,1.78,2.39,65.00,0,27,-4.00,27,9.39,5.11,105.06,96.97,-4.11,1,35.52,29.80,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,20.50,20.22,40.50,22.61,36.60,2.50,7.10,14.78,12,15.89,8.22,4.10,12,16.61,2.72,48.30,18.78,36.90,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,19.10,228.90,230.50,230.10,35.80,22.70,20.90
 17:19:00  11/07/2019,5.33,97.11,94.54,7,96.04,100,34.17,-4.06,-29.83,2,58,58,32.00,2.67,81.39,-29.00,33.71,69,10.22,11.83,34.72,100,35.44,9,0.00,0,78.39,62.39,90.33,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,13.18,84110,0,42561,22789,10,0,-4.00,61,3168,1,1,1,0,0,34.69,1.50,2.39,65.00,0,28,-4.00,28,8.67,4.83,105.06,97.27,-4.11,1,35.52,29.92,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,19.78,20.22,41.10,22.61,36.60,2.50,7.10,14.78,12,17.00,9.22,4.60,12,17.28,2.72,47.70,19.72,36.90,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,19.10,228.90,230.50,230.10,35.80,22.70,20.90
 17:21:00  11/07/2019,5.33,96.78,94.54,7,95.65,100,34.17,-4.06,-29.83,2,55,53,32.44,2.67,81.78,-29.00,33.71,69,10.22,11.83,37.50,100,35.44,9,0.00,0,78.39,62.72,89.56,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,12.90,84110,0,42561,22789,10,0,-4.00,61,3168,1,1,1,0,0,34.69,1.50,2.39,65.00,0,27,-4.00,28,8.28,3.72,105.50,96.90,-4.11,1,35.52,29.82,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,19.39,20.22,41.70,22.61,36.60,2.50,7.10,14.39,12,17.39,9.22,4.60,12,17.72,2.72,47.70,19.72,36.90,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,16.90,228.90,230.50,230.10,35.80,20.70,20.90
 17:23:00  11/07/2019,5.33,96.39,94.43,7,95.79,100,34.17,-4.06,-30.22,2,51,50,32.44,2.67,81.78,-29.00,33.71,69,10.22,11.83,40.50,100,35.44,9,0.00,0,78.11,62.72,89.11,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,12.90,84110,0,42561,22789,10,0,-4.00,62,3168,1,1,1,0,0,34.80,1.50,2.39,65.00,0,28,-4.00,28,7.50,2.94,105.50,97.05,-4.11,1,35.52,29.82,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,19.78,19.89,42.30,22.61,36.60,2.50,7.10,14.39,12,17.39,10.72,5.30,12,17.72,2.72,47.10,20.28,36.90,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,16.90,228.90,230.50,230.10,35.80,20.70,20.90
 17:25:00  11/07/2019,5.33,95.94,94.36,7,96.56,100,34.17,-4.06,-30.22,2,44,50,32.94,2.67,81.78,-29.00,33.71,69,10.22,11.83,32.67,100,35.44,9,0.00,0,78.11,62.72,88.56,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,12.73,84110,0,42561,22789,10,0,-4.00,62,3168,1,1,1,0,0,34.76,1.50,2.39,65.00,0,28,-4.00,28,6.17,2.22,105.50,97.76,-4.11,1,35.52,29.82,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,20.72,19.89,41.10,22.61,36.60,2.50,7.80,15.72,12,17.78,11.39,5.30,12,17.72,2.72,46.50,20.28,36.40,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,16.90,228.90,230.50,230.10,35.80,20.70,20.90
 17:27:00  11/07/2019,5.33,95.50,94.33,7,96.70,100,34.17,-4.06,-30.67,1,38,50,32.94,2.67,82.17,-29.00,33.71,69,10.22,11.83,35.11,100,35.44,9,0.00,0,78.11,63.00,88.06,1,65.00,34.28,0.00,37.72,1,9,10,3168,3167,12.65,84110,0,42561,22789,10,0,-4.00,62,3168,1,1,1,0,0,34.71,1.50,2.39,65.00,0,27,-4.00,27,6.17,1.94,105.78,97.88,-4.11,1,35.52,29.54,-0.61,Offln,6.00,Offln,Offln,1.60,Offln,2.40,2.90,15.00,12.00,4.00,10,0,27.00,1.40,0,112,50.00,1.90,1.00,1.00,58,1.89,35.11,31.00,57,0,2.00,0,22,57,0,0,Offln,25,0,3.10,45.00,8,Offln,Offln,Offln,1.80,0,Offln,49,0,3,1,3,1,0,20.00,0,0,0.00,21.28,20.22,39.80,22.61,36.60,2.50,7.80,16.22,12,17.78,11.72,5.80,12,17.72,2.72,47.10,20.28,36.40,1,0.00,20.00,2,4.40,30.20,17.00,-6.00,8.00,4.80,16.90,228.90,230.50,230.10,35.80,20.70,20.90
